core_local_id,state,weight,right_Mw_ratio,left_wM_ratio,right_pass,left_pass
102,d5:r104:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
103,d5:r104:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
104,d5:r104:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
105,d5:r107:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
106,d5:r107:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
107,d5:r107:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
108,d5:r110:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
109,d5:r110:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
110,d5:r110:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
111,d5:r113:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
112,d5:r113:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
113,d5:r113:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
114,d5:r116:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
115,d5:r116:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
116,d5:r116:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
117,d5:r119:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
118,d5:r119:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
119,d5:r119:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
120,d5:r122:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
121,d5:r122:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
122,d5:r122:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
123,d5:r125:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
124,d5:r125:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
125,d5:r125:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
126,d5:r128:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
127,d5:r128:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
128,d5:r128:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
129,d5:r131:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
130,d5:r131:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
131,d5:r131:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
132,d5:r134:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
133,d5:r134:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
134,d5:r134:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
135,d5:r137:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
136,d5:r137:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
137,d5:r137:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
138,d5:r140:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
139,d5:r140:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
140,d5:r140:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
141,d5:r143:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
142,d5:r143:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
143,d5:r143:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
