n,l,log2_binomial,n_times_entropy,remainder,interpretation
20,10,17.495261691472,20.000000000000,-2.504738308528,remainder diverges like -0.5*log2(n)
200,100,195.850520479089,200.000000000000,-4.149479520911,remainder diverges like -0.5*log2(n)
2000,1000,1994.191179456060,2000.000000000000,-5.808820543940,remainder diverges like -0.5*log2(n)
20000,10000,19992.530377711792,20000.000000000000,-7.469622288208,remainder diverges like -0.5*log2(n)
