mode,value,lift_indices,lift_slacks
236,1098491591/100000000,78;19761;39444,0;51992363/100000000;10449947/100000000
239,101721321/50000000,79;19762;39445,3528801/100000000;0;12432527/100000000
242,188090669/6250000,80;19763;39446,0;2822071/100000000;2098781/5000000
245,107875551/20000000,81;19764;39447,1053827/1562500;2586961/5000000;0
248,64782177/12500000,82;19765;39448,19093967/50000000;0;27474713/100000000
251,605634153/50000000,83;19766;39449,175954191/50000000;100616997/100000000;0
254,426147317/100000000,84;19767;39450,0;46365221/100000000;1652217/6250000
257,327893283/100000000,85;19768;39451,545151/6250000;0;1091417/10000000
260,361832887/50000000,86;19769;39452,7851729/5000000;108745029/100000000;0
263,1078574567/50000000,87;19770;39453,305303719/100000000;0;19836827/20000000
266,118368779/50000000,88;19771;39454,900339/25000000;0;10187213/25000000
269,1008463567/100000000,89;19772;39455,50440971/100000000;176020263/100000000;0
272,100771917/20000000,90;19773;39456,0;14423777/100000000;3277291/25000000
275,15044127/6250000,91;19774;39457,287051/20000000;0;5945671/100000000
278,268336041/100000000,92;19775;39458,2648451/100000000;9283993/25000000;0
281,143843203/25000000,93;19776;39459,0;42742641/100000000;14543669/100000000
284,181752141/100000000,94;19777;39460,0;15021847/100000000;27327/800000
287,162588117/25000000,95;19778;39461,0;28806537/100000000;32393819/100000000
290,703010193/100000000,96;19779;39462,12440281/20000000;0;947087/100000000
293,8793177/6250000,97;19780;39463,0;10878333/50000000;13411693/100000000
296,670038089/100000000,98;19781;39464,37627671/100000000;0;4212651/25000000
299,697497457/100000000,99;19782;39465,43538779/100000000;0;52954371/100000000
302,217207647/50000000,100;19783;39466,56443297/100000000;0;7414693/20000000
305,355601827/100000000,101;19784;39467,3721499/25000000;0;7851/3125000
308,218307993/20000000,102;19785;39468,27277549/25000000;0;382850327/100000000
311,33274969/25000000,103;19786;39469,12952893/100000000;13568933/100000000;0
314,265709569/25000000,104;19787;39470,232487/500000;0;36055129/50000000
317,781727341/100000000,105;19788;39471,2592691/50000000;2109629/2000000;0
320,20643833/12500000,106;19789;39472,0;5252023/100000000;1303539/6250000
323,600006767/50000000,107;19790;39473,1545929/781250;0;24293813/25000000
326,108412409/25000000,108;19791;39474,5196001/50000000;10354101/100000000;0
