a,c,x,qAdv,xAdv,target_count,retarded_count,advanced_full_count,advanced_window_count,e5_numerator,e5_gap,deterministic_atom_gap,advanced_window_gap,closure_percent,partition_ok,pairwise_disjoint_ok,advanced_subset_ok,gap_identity_ok,route_hooks_ok,window_hooks_ok,all_hooks_ok,target_sha256,retarded_sha256,advanced_full_sha256,advanced_window_sha256,advanced_boundary_examples
8,5,2048,128,1920,807,91,714,677,769,38,1,37,95.291201983,yes,yes,yes,yes,yes,yes,yes,48bdb9a12b66cdf866758f2610552acba6e7624a0b38e2a9a1100fd8d10b3077,755c70ef779a2886fb3cbec8a49451aa085c6c252886d1a9de676f5dbb84d8b0,4cace9346fb35a9995d2234b4086663e324f455bb57162ba52fa2733dd078e7d,8de3094fd81beccf659222f0579ac2bab72a9e5f80baabe28edef3fba70da603,583 777 867 875 883 1166 1177 1281 1285 1301 1313 1317
17,11,4352,128,4224,1182,80,1100,1066,1147,35,1,34,97.038917090,yes,yes,yes,yes,yes,yes,yes,6cc21a26a149159127961c7432847bbde607f6eb49c49720b6aecd11bc7d844e,7277183684c568348a79ee66b9fe50c958a1a1c7cd03d8c0f3f6c1742a5950d9,94494979784c73de1df799fcfb7208ca5bc8874863c2819911c26532cd5d6ec0,5d409e7b9e7ebaa22a6ca6ee846a6f548ca707901b0c2a36054900aad28f1259,1891 1899 1923 2521 2821 2837 2845 2849 2869 2881 2885 2893
26,17,6656,128,6528,1888,81,1805,1725,1807,81,1,80,95.709745763,yes,yes,yes,yes,yes,yes,yes,2bd320ee8aeced2363d1e6bf8672ea82e4cba1d8022282fa95cce49c30c70cd5,bb23462d05be94260ef7cf0ea1396582e63cdaeaeeed96499febe7c453f5220b,429a96c5b6e1d99309acf6230d6f156f01b47930fac7485af0ec785fcf3c8ab3,9a7b53af4f8e62b0462d1da11cdebe162996cae44344154fd0ed1fa902c31e05,255 383 510 575 766 863 907 1020 1021 1150 1209 1295
35,23,8960,128,8832,2572,88,2482,2450,2539,33,1,32,98.716951788,yes,yes,yes,yes,yes,yes,yes,e9f2379e6b818cb4306a62187baf82e294241bd525bf160488fc5a073fe7ef10,f23ffc632e14df16d39b14352fe045f25e53e652eaa432d307b74be994e66943,5d99126588c5ae15aa3cc0ee3074a123e3649c5c5797fb4c7832fa07c2b360be,22d00015a1ff590f9da3dd68f50a4b3f28217592dbaad615d2e8f113692914d1,2343 3515 3955 4686 5273 5889 5893 5901 5905 5917 5933 5937
44,29,11264,128,11136,1606,88,1516,1505,1594,12,1,11,99.252801993,yes,yes,yes,yes,yes,yes,yes,fb661b3a319d9be0a0595ef71bbe7a5339d6df7d7c8baa3947ded5f89e1da17c,5169693b04a89d0b66902d5e74e64f09dc879901e338b0ee66540d47fc5e6e58,621ad33ef05ca78e9727cca2ee2cc7a2ec73201a3459b2ea41d333bf773c363d,208561aed995b380f84cc7d6eae07a993c73570c39861fd766a1d525ed410ae0,4971 7453 7457 7461 9942 11180 11184 11186 11188 11192 11194
53,35,13568,128,13440,4050,62,3986,3982,4045,5,1,4,99.876543210,yes,yes,yes,yes,yes,yes,yes,5bb1fb056f97a987e46f0416f48f5d920d44e3824b804c782f0efb2c2abc4a8e,e0041f10a77dc79fb3ccb4bf4d97cb864e5c83654e8824fa6846408540e80c50,05202474df5d1656ff34b403597338a8b31130d06a0055acbe85ae019a5727d4,a321abe8e3004ef3ce4149465a7093bec37aaa8d188e5e05bf9b03f3d292ced3,9021 13528 13530 13532
62,41,15872,128,15744,967,385,580,580,966,1,1,0,99.896587384,yes,yes,yes,yes,yes,yes,yes,e5eb1090ed6b9b33993cb810543069d7701d1634d0445ed69c072f1d08d8c6ad,0362feaa68dc84b3a8f1816fa1e0bed88953e03b7e0f4c2fb88dca6e3708e79a,8051b1f4624e20009fa2b1d86cf9e3ade0898ad423bfed93ebee36886d3b36c1,8051b1f4624e20009fa2b1d86cf9e3ade0898ad423bfed93ebee36886d3b36c1,
71,47,18176,128,18048,2248,127,2119,2118,2246,2,1,1,99.911032028,yes,yes,yes,yes,yes,yes,yes,f170841c252425f5f4010333d586ab10bfda658eda45518484c63f0a78d0c950,7a51a114f6ba1e457ddb7a8c5d57c71f539a3f928b4e13422da6195ed35ea901,b6bd2f5aa81741d507ab4e02e606c81cc24f23a7ca1fc9ce37f71ea8fea9aac6,e007a0b6b740143ed94c06bd242becf9e031e1903ce13164e659ede17bd8e787,18052
80,53,20480,128,20352,6041,81,5958,5934,6016,25,1,24,99.586161232,yes,yes,yes,yes,yes,yes,yes,107a43a6d388c976c31e5c411452ca797402f1e65a52a15d79912704ca3a2d2e,ba67d0e5579e4d3923da877a5cb61b7e234118a859a66700c146a5d6e4a9205c,1eafe253ecc99638ecd4966984443dfb4ba6326a725b0d0d7372d361e7def8a0,fdee8ccd017a70bde515c8fcaa1993d5153fe00e27acae40396560e6cfd36876,6039 9059 9075 12078 13589 13613 13621 13629 13633 18118 18150 20384
89,59,22784,128,22656,910,123,785,785,909,1,1,0,99.890109890,yes,yes,yes,yes,yes,yes,yes,88a6084f3f91733022d5d7b23c540102b21843cff6be94596149516a894c87d3,249054085d6ab142dc3b7d7edf8f44c359a32d6aa62944b89463a62c24ece2be,7bc004cf51afc85e2e369f6e278ed9c9b0937aceec09ae1957c4433d5f8000cf,7bc004cf51afc85e2e369f6e278ed9c9b0937aceec09ae1957c4433d5f8000cf,
