source_id,source,branch,target_id,target,weight_decimal,weight_formula,multiplicity,rule_derived
182,d5:r60:peven:b2,retarded_return,722,d5:r240:peven:b2,0.308641975308642,rho_star^(-2),1,yes
183,d5:r61:podd:b0,retarded_return,5,d5:r1:peven:b2,0.308641975308642,rho_star^(-2),1,yes
184,d5:r61:peven:b1,retarded_return,5,d5:r1:peven:b2,0.308641975308642,rho_star^(-2),1,yes
185,d5:r61:peven:b2,retarded_return,5,d5:r1:peven:b2,0.308641975308642,rho_star^(-2),1,yes
186,d5:r62:podd:b0,retarded_return,17,d5:r5:peven:b2,0.308641975308642,rho_star^(-2),1,yes
186,d5:r62:podd:b0,advanced_rebased_return,123,d5:r41:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
186,d5:r62:podd:b0,advanced_rebased_return,366,d5:r122:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
186,d5:r62:podd:b0,advanced_rebased_return,609,d5:r203:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
187,d5:r62:peven:b1,retarded_return,17,d5:r5:peven:b2,0.308641975308642,rho_star^(-2),1,yes
187,d5:r62:peven:b1,advanced_rebased_return,123,d5:r41:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
187,d5:r62:peven:b1,advanced_rebased_return,366,d5:r122:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
187,d5:r62:peven:b1,advanced_rebased_return,609,d5:r203:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
188,d5:r62:peven:b2,retarded_return,17,d5:r5:peven:b2,0.308641975308642,rho_star^(-2),1,yes
188,d5:r62:peven:b2,advanced_rebased_return,123,d5:r41:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
188,d5:r62:peven:b2,advanced_rebased_return,366,d5:r122:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
188,d5:r62:peven:b2,advanced_rebased_return,609,d5:r203:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
189,d5:r63:podd:b0,retarded_return,29,d5:r9:peven:b2,0.308641975308642,rho_star^(-2),1,yes
190,d5:r63:peven:b1,retarded_return,29,d5:r9:peven:b2,0.308641975308642,rho_star^(-2),1,yes
191,d5:r63:peven:b2,retarded_return,29,d5:r9:peven:b2,0.308641975308642,rho_star^(-2),1,yes
192,d5:r64:podd:b0,retarded_return,41,d5:r13:peven:b2,0.308641975308642,rho_star^(-2),1,yes
193,d5:r64:peven:b1,retarded_return,41,d5:r13:peven:b2,0.308641975308642,rho_star^(-2),1,yes
194,d5:r64:peven:b2,retarded_return,41,d5:r13:peven:b2,0.308641975308642,rho_star^(-2),1,yes
195,d5:r65:podd:b0,retarded_return,53,d5:r17:peven:b2,0.308641975308642,rho_star^(-2),1,yes
195,d5:r65:podd:b0,advanced_rebased_return,129,d5:r43:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
195,d5:r65:podd:b0,advanced_rebased_return,372,d5:r124:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
195,d5:r65:podd:b0,advanced_rebased_return,615,d5:r205:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
196,d5:r65:peven:b1,retarded_return,53,d5:r17:peven:b2,0.308641975308642,rho_star^(-2),1,yes
196,d5:r65:peven:b1,advanced_rebased_return,129,d5:r43:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
196,d5:r65:peven:b1,advanced_rebased_return,372,d5:r124:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
196,d5:r65:peven:b1,advanced_rebased_return,615,d5:r205:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
197,d5:r65:peven:b2,retarded_return,53,d5:r17:peven:b2,0.308641975308642,rho_star^(-2),1,yes
197,d5:r65:peven:b2,advanced_rebased_return,129,d5:r43:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
197,d5:r65:peven:b2,advanced_rebased_return,372,d5:r124:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
197,d5:r65:peven:b2,advanced_rebased_return,615,d5:r205:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
198,d5:r66:podd:b0,retarded_return,65,d5:r21:peven:b2,0.308641975308642,rho_star^(-2),1,yes
199,d5:r66:peven:b1,retarded_return,65,d5:r21:peven:b2,0.308641975308642,rho_star^(-2),1,yes
200,d5:r66:peven:b2,retarded_return,65,d5:r21:peven:b2,0.308641975308642,rho_star^(-2),1,yes
201,d5:r67:podd:b0,retarded_return,77,d5:r25:peven:b2,0.308641975308642,rho_star^(-2),1,yes
202,d5:r67:peven:b1,retarded_return,77,d5:r25:peven:b2,0.308641975308642,rho_star^(-2),1,yes
