core_local_id,state_id,state,residue_mod_9,parity,bucket,integer_weight_over_D,rational_weight_decimal,lhs_wM_decimal,rhs_1_plus_delta_w_decimal,ratio_lhs_over_rhs,passes
40,187,d5:r62:peven:b1,8,even,1,51790,5.179000000000000270e-02,5.255487641842626623e-02,5.230790000000000439e-02,1.004721589251838854e+00,yes
41,188,d5:r62:peven:b2,8,even,2,1666,1.665999999999999946e-03,1.691049382716049414e-03,1.682659999999999885e-03,1.004985786026915351e+00,yes
42,195,d5:r65:podd:b0,2,odd,0,19092,1.909200000000000133e-02,1.937388605662107230e-02,1.928292000000000200e-02,1.004717441996392235e+00,yes
43,197,d5:r65:peven:b2,2,even,2,1381,1.381000000000000066e-03,1.401543209876543331e-03,1.394810000000000017e-03,1.004827331232600374e+00,yes
44,206,d5:r68:peven:b2,5,even,2,3919,3.918999999999999741e-03,3.977160493827161004e-03,3.958189999999999452e-03,1.004792719355857455e+00,yes
45,213,d5:r71:podd:b0,8,odd,0,21651,2.165100000000000011e-02,2.197173843459996126e-02,2.186750999999999973e-02,1.004766360440670248e+00,yes
46,214,d5:r71:peven:b1,8,even,1,8967,8.966999999999999277e-03,9.099848449103281264e-03,9.056669999999999304e-03,1.004767585558851373e+00,yes
47,215,d5:r71:peven:b2,8,even,2,1106,1.105999999999999995e-03,1.122530864197531083e-03,1.117060000000000015e-03,1.004897556261553637e+00,yes
48,223,d5:r74:peven:b1,2,even,1,5709,5.708999999999999665e-03,5.793376909993944168e-03,5.766089999999999757e-03,1.004732307333729535e+00,yes
49,224,d5:r74:peven:b2,2,even,2,1002,1.002000000000000069e-03,1.016975308641975516e-03,1.012019999999999977e-03,1.004896453273626644e+00,yes
50,231,d5:r77:podd:b0,5,odd,0,3977,3.976999999999999633e-03,4.036402554709871485e-03,4.016769999999999369e-03,1.004887647216512692e+00,yes
51,233,d5:r77:peven:b2,5,even,2,564,5.640000000000000482e-04,5.731481481481481496e-04,5.696400000000000552e-04,1.006158535475296878e+00,yes
52,242,d5:r80:peven:b2,8,even,2,1857,1.856999999999999927e-03,1.884876543209876559e-03,1.875570000000000015e-03,1.004961981269628213e+00,yes
53,249,d5:r83:podd:b0,2,odd,0,42500,4.250000000000000305e-02,4.312829843571903271e-02,4.292500000000000482e-02,1.004736131292231383e+00,yes
54,251,d5:r83:peven:b2,2,even,2,17,1.699999999999999987e-05,1.728395061728395333e-05,1.716999999999999993e-05,1.006636611373555867e+00,yes
55,259,d5:r86:peven:b1,5,even,1,15807,1.580700000000000160e-02,1.604108810904869217e-02,1.596507000000000134e-02,1.004761526823790385e+00,yes
56,260,d5:r86:peven:b2,5,even,2,3367,3.367000000000000201e-03,3.416666666666667244e-03,3.400670000000000168e-03,1.004703975001004723e+00,yes
57,267,d5:r89:podd:b0,8,odd,0,11967,1.196700000000000021e-02,1.214305590358210826e-02,1.208667000000000075e-02,1.004665131387065813e+00,yes
58,269,d5:r89:peven:b2,8,even,2,12931,1.293099999999999979e-02,1.312253086419753328e-02,1.306031000000000032e-02,1.004764118477856405e+00,yes
59,278,d5:r92:peven:b2,2,even,2,7322,7.322000000000000383e-03,7.429938271604939574e-03,7.395220000000000092e-03,1.004694690841508420e+00,yes
60,285,d5:r95:podd:b0,5,odd,0,15386,1.538600000000000037e-02,1.561250044746271062e-02,1.553986000000000083e-02,1.004674459580891410e+00,yes
61,287,d5:r95:peven:b2,5,even,2,164,1.640000000000000019e-04,1.660493827160493990e-04,1.656399999999999930e-04,1.002471520864823828e+00,yes
62,295,d5:r98:peven:b1,8,even,1,5182,5.181999999999999974e-03,5.258229976057527885e-03,5.233820000000000139e-03,1.004663892922860846e+00,yes
63,296,d5:r98:peven:b2,8,even,2,8555,8.555000000000000104e-03,8.681481481481482729e-03,8.640550000000000314e-03,1.004737138432331589e+00,yes
64,303,d5:r101:podd:b0,2,odd,0,5114,5.113999999999999622e-03,5.188653039405177574e-03,5.165139999999999489e-03,1.004552255970831087e+00,yes
65,305,d5:r101:peven:b2,2,even,2,5832,5.832000000000000378e-03,5.917901234567902145e-03,5.890320000000000104e-03,1.004682467941962809e+00,yes
66,314,d5:r104:peven:b2,5,even,2,1457,1.456999999999999962e-03,1.479012345679012359e-03,1.471569999999999953e-03,1.005057418728984908e+00,yes
67,321,d5:r107:podd:b0,8,odd,0,13855,1.385499999999999926e-02,1.405830211926904251e-02,1.399354999999999870e-02,1.004627283231849244e+00,yes
68,323,d5:r107:peven:b2,8,even,2,1724,1.724000000000000055e-03,1.749382716049383045e-03,1.741240000000000019e-03,1.004676389268212899e+00,yes
69,331,d5:r110:peven:b1,2,even,1,32828,3.282800000000000301e-02,3.331309251855728293e-02,3.315628000000000325e-02,1.004729496751664453e+00,yes
70,332,d5:r110:peven:b2,2,even,2,2221,2.220999999999999884e-03,2.254012345679012874e-03,2.243209999999999822e-03,1.004815574858801908e+00,yes
71,339,d5:r113:podd:b0,5,odd,0,11064,1.106399999999999918e-02,1.122774309505425797e-02,1.117463999999999957e-02,1.004752107902738612e+00,yes
72,341,d5:r113:peven:b2,5,even,2,7572,7.571999999999999738e-03,7.684567901234569398e-03,7.647720000000000212e-03,1.004818155114801437e+00,yes
73,350,d5:r116:peven:b2,8,even,2,2862,2.861999999999999961e-03,2.904320987654321340e-03,2.890619999999999995e-03,1.004739809333057066e+00,yes
74,357,d5:r119:podd:b0,2,odd,0,186,1.859999999999999945e-04,1.889860036097563837e-04,1.878600000000000072e-04,1.005993844404111437e+00,yes
75,359,d5:r119:peven:b2,2,even,2,427,4.270000000000000249e-04,4.339506172839506298e-04,4.312700000000000366e-04,1.006215635875323144e+00,yes
76,367,d5:r122:peven:b1,5,even,1,5653,5.653000000000000039e-03,5.736963177573121443e-03,5.709529999999999987e-03,1.004804804874152691e+00,yes
77,368,d5:r122:peven:b2,5,even,2,1119,1.118999999999999986e-03,1.135493827160493968e-03,1.130190000000000101e-03,1.004692863288910498e+00,yes
78,375,d5:r125:podd:b0,8,odd,0,28353,2.835299999999999973e-02,2.877241387793014887e-02,2.863653000000000032e-02,1.004745123725889533e+00,yes
79,377,d5:r125:peven:b2,8,even,2,2227,2.226999999999999813e-03,2.259876543209876892e-03,2.249269999999999829e-03,1.004715549138110120e+00,yes
80,386,d5:r128:peven:b2,2,even,2,254,2.539999999999999940e-04,2.580246913580247384e-04,2.565399999999999799e-04,1.005787367888145267e+00,yes
81,393,d5:r131:podd:b0,5,odd,0,14815,1.481500000000000004e-02,1.503425969014927574e-02,1.496314999999999971e-02,1.004752320878242511e+00,yes
82,395,d5:r131:peven:b2,5,even,2,1074,1.074000000000000085e-03,1.090123456790123655e-03,1.084740000000000053e-03,1.004962900593804553e+00,yes
83,403,d5:r134:peven:b1,8,even,1,8451,8.451000000000000179e-03,8.576454376087869896e-03,8.535509999999999625e-03,1.004796945476939207e+00,yes
84,404,d5:r134:peven:b2,8,even,2,159,1.589999999999999888e-04,1.614197530864197702e-04,1.605899999999999786e-04,1.005166903832242387e+00,yes
85,411,d5:r137:podd:b0,2,odd,0,750,7.500000000000000156e-04,7.587647010600667577e-04,7.575000000000000353e-04,1.001669572356523652e+00,yes
86,413,d5:r137:peven:b2,2,even,2,4729,4.728999999999999697e-03,4.799382716049383456e-03,4.776289999999999876e-03,1.004834864727515154e+00,yes
87,422,d5:r140:peven:b2,5,even,2,3295,3.295000000000000186e-03,3.344135802469136529e-03,3.327950000000000092e-03,1.004863595447388569e+00,yes
88,429,d5:r143:podd:b0,8,odd,0,4909,4.909000000000000169e-03,4.981332572758653647e-03,4.958090000000000067e-03,1.004687807756344364e+00,yes
89,431,d5:r143:peven:b2,8,even,2,6161,6.160999999999999810e-03,6.252777777777778975e-03,6.222609999999999947e-03,1.004848090717203712e+00,yes
90,439,d5:r146:peven:b1,2,even,1,27062,2.706199999999999925e-02,2.746173482801971683e-02,2.733261999999999844e-02,1.004723836500844625e+00,yes
91,440,d5:r146:peven:b2,2,even,2,1066,1.066000000000000107e-03,1.082098765432098868e-03,1.076660000000000117e-03,1.005051516200192063e+00,yes
92,447,d5:r149:podd:b0,5,odd,0,3125,3.125000000000000173e-03,3.171862105360762334e-03,3.156250000000000201e-03,1.004946409619251302e+00,yes
93,449,d5:r149:peven:b2,5,even,2,4178,4.178000000000000290e-03,4.239814814814815182e-03,4.219780000000000232e-03,1.004747833966418868e+00,yes
94,458,d5:r152:peven:b2,8,even,2,3679,3.678999999999999979e-03,3.733641975308642225e-03,3.715790000000000065e-03,1.004804355280745742e+00,yes
95,465,d5:r155:podd:b0,2,odd,0,259,2.590000000000000071e-04,2.623238557568260401e-04,2.615900000000000213e-04,1.002805366248044727e+00,yes
