ordinal,source_local,target_local,channel
567,189,35,0
568,189,10,2
569,189,91,2
570,189,172,2
571,190,35,0
572,190,10,2
573,190,91,2
574,190,172,2
575,191,35,0
576,191,10,2
577,191,91,2
578,191,172,2
579,192,47,0
580,193,47,0
581,194,47,0
582,195,59,0
583,195,129,1
584,195,48,1
585,195,210,1
586,196,59,0
587,196,129,1
588,196,48,1
589,196,210,1
590,197,59,0
591,197,129,1
592,197,48,1
593,197,210,1
594,198,71,0
595,198,22,2
596,198,103,2
597,198,184,2
598,199,71,0
599,199,22,2
600,199,103,2
601,199,184,2
602,200,71,0
603,200,22,2
604,200,103,2
605,200,184,2
606,201,83,0
607,202,83,0
608,203,83,0
609,204,95,0
610,204,135,1
611,204,54,1
612,204,216,1
613,205,95,0
614,205,135,1
615,205,54,1
616,205,216,1
617,206,95,0
618,206,135,1
619,206,54,1
620,206,216,1
621,207,107,0
622,207,34,2
623,207,115,2
624,207,196,2
625,208,107,0
626,208,34,2
627,208,115,2
628,208,196,2
629,209,107,0
630,209,34,2
631,209,115,2
632,209,196,2
633,210,119,0
634,211,119,0
635,212,119,0
636,213,131,0
637,213,141,1
638,213,60,1
639,213,222,1
640,214,131,0
641,214,141,1
642,214,60,1
643,214,222,1
644,215,131,0
645,215,141,1
646,215,60,1
647,215,222,1
