ordinal,source_local,target_local,channel
405,135,62,0
406,135,181,2
407,135,19,2
408,135,100,2
409,136,62,0
410,136,181,2
411,136,19,2
412,136,100,2
413,137,62,0
414,137,181,2
415,137,19,2
416,137,100,2
417,138,74,0
418,139,74,0
419,140,74,0
420,141,86,0
421,141,93,1
422,141,12,1
423,141,174,1
424,142,86,0
425,142,93,1
426,142,12,1
427,142,174,1
428,143,86,0
429,143,93,1
430,143,12,1
431,143,174,1
432,144,98,0
433,144,193,2
434,144,31,2
435,144,112,2
436,145,98,0
437,145,193,2
438,145,31,2
439,145,112,2
440,146,98,0
441,146,193,2
442,146,31,2
443,146,112,2
444,147,110,0
445,148,110,0
446,149,110,0
447,150,122,0
448,150,99,1
449,150,18,1
450,150,180,1
451,151,122,0
452,151,99,1
453,151,18,1
454,151,180,1
455,152,122,0
456,152,99,1
457,152,18,1
458,152,180,1
459,153,134,0
460,153,205,2
461,153,43,2
462,153,124,2
463,154,134,0
464,154,205,2
465,154,43,2
466,154,124,2
467,155,134,0
468,155,205,2
469,155,43,2
470,155,124,2
471,156,146,0
472,157,146,0
473,158,146,0
474,159,158,0
475,159,105,1
476,159,24,1
477,159,186,1
478,160,158,0
479,160,105,1
480,160,24,1
481,160,186,1
482,161,158,0
483,161,105,1
484,161,24,1
485,161,186,1
