ordinal,source_local,target_local,channel
324,108,197,0
325,108,145,2
326,108,226,2
327,108,64,2
328,109,197,0
329,109,145,2
330,109,226,2
331,109,64,2
332,110,197,0
333,110,145,2
334,110,226,2
335,110,64,2
336,111,209,0
337,112,209,0
338,113,209,0
339,114,221,0
340,114,75,1
341,114,237,1
342,114,156,1
343,115,221,0
344,115,75,1
345,115,237,1
346,115,156,1
347,116,221,0
348,116,75,1
349,116,237,1
350,116,156,1
351,117,233,0
352,117,157,2
353,117,238,2
354,117,76,2
355,118,233,0
356,118,157,2
357,118,238,2
358,118,76,2
359,119,233,0
360,119,157,2
361,119,238,2
362,119,76,2
363,120,2,0
364,121,2,0
365,122,2,0
366,123,14,0
367,123,81,1
368,123,0,1
369,123,162,1
370,124,14,0
371,124,81,1
372,124,0,1
373,124,162,1
374,125,14,0
375,125,81,1
376,125,0,1
377,125,162,1
378,126,26,0
379,126,169,2
380,126,7,2
381,126,88,2
382,127,26,0
383,127,169,2
384,127,7,2
385,127,88,2
386,128,26,0
387,128,169,2
388,128,7,2
389,128,88,2
390,129,38,0
391,130,38,0
392,131,38,0
393,132,50,0
394,132,87,1
395,132,6,1
396,132,168,1
397,133,50,0
398,133,87,1
399,133,6,1
400,133,168,1
401,134,50,0
402,134,87,1
403,134,6,1
404,134,168,1
