ordinal,source_local,target_local,channel
648,216,143,0
649,216,46,2
650,216,127,2
651,216,208,2
652,217,143,0
653,217,46,2
654,217,127,2
655,217,208,2
656,218,143,0
657,218,46,2
658,218,127,2
659,218,208,2
660,219,155,0
661,220,155,0
662,221,155,0
663,222,167,0
664,222,147,1
665,222,66,1
666,222,228,1
667,223,167,0
668,223,147,1
669,223,66,1
670,223,228,1
671,224,167,0
672,224,147,1
673,224,66,1
674,224,228,1
675,225,179,0
676,225,58,2
677,225,139,2
678,225,220,2
679,226,179,0
680,226,58,2
681,226,139,2
682,226,220,2
683,227,179,0
684,227,58,2
685,227,139,2
686,227,220,2
687,228,191,0
688,229,191,0
689,230,191,0
690,231,203,0
691,231,153,1
692,231,72,1
693,231,234,1
694,232,203,0
695,232,153,1
696,232,72,1
697,232,234,1
698,233,203,0
699,233,153,1
700,233,72,1
701,233,234,1
702,234,215,0
703,234,70,2
704,234,151,2
705,234,232,2
706,235,215,0
707,235,70,2
708,235,151,2
709,235,232,2
710,236,215,0
711,236,70,2
712,236,151,2
713,236,232,2
714,237,227,0
715,238,227,0
716,239,227,0
717,240,239,0
718,240,159,1
719,240,78,1
720,240,240,1
721,241,239,0
722,241,159,1
723,241,78,1
724,241,240,1
725,242,239,0
726,242,159,1
727,242,78,1
728,242,240,1
