cross_id,pstex_line,coords,center_x,center_y,nearest_node,nearest_node_distance
X00,255,"(14925,7575) (15075,7425)",15000.0,7500.0,N05,0.0
X01,261,"(14925,5025) (15075,5175)",15000.0,5100.0,N04,0.0
X02,264,"(14925,5175) (15075,5025)",15000.0,5100.0,N04,0.0
X03,270,"(14925,7425) (15075,7575)",15000.0,7500.0,N05,0.0
