mode,row_kind,retarded_mode,auxiliary_mode,A,advanced_coefficient,target,slack
2,D1,8,2,10000000000/23335312081,104843/125000,13629/5023,304795542269005271/3251098755196268350140625
5,D2,20,,10000000000/23335312081,0,10113/8971,44414275151/341853991280237083
8,D3,5,5,10000000000/23335312081,16015711837/12500000000,17497/9917,2562311206697981843379/25950444209477274587500000000
11,D1,17,5,10000000000/23335312081,104843/125000,19632/8413,19876917800818861/222307837961098340875000
14,D2,2,,10000000000/23335312081,0,7723/6642,75842549051/778530556495376046
17,D3,14,2,10000000000/23335312081,16015711837/12500000000,31599/9059,590499070911102882417941/4614277061680047437786718750000
20,D1,26,8,10000000000/23335312081,104843/125000,17183/6532,163521331496785684269623/100663858727875137458875000
23,D2,11,,10000000000/23335312081,0,1,19462547/196319980537453
26,D3,23,8,10000000000/23335312081,16015711837/12500000000,11461/4262,450047250673244841279/6164351422405091087500000000
