probe_id,status,elapsed_seconds,peak_rss_mib,exit_code,source_bytes,olean_bytes,stdout_tail
K11_SHARDED_DATA_BASE,PASS,3.51203,,0,220,31768,
K11_81_DATA_SHARDS,PASS,264.319616,,0,7840906,469762032,slowest_shard_seconds=16.916204
K11_GLOBAL_DATA_ROUTER,PASS,13.075903,,0,16998,1219056,
K11_ROUTER_IMPORT_CONSUMER,PASS,5.56732,,0,726,2132040,
K11_81_CHECKER_INTERFACES,PASS,29.5872,,0,35089,2933320,
K11_NINE_GROUP_DISPATCHERS,PASS,3.138484,,0,20049,446504,
K11_TOP_NINE_GROUP_AGGREGATE,PASS,2.064142,,0,2213,48352,
