ordinal,source_local,target_local,channel
398,133,87,1
399,133,6,1
400,133,168,1
401,134,50,0
402,134,87,1
403,134,6,1
404,134,168,1
405,135,62,0
406,135,181,2
407,135,19,2
408,135,100,2
409,136,62,0
410,136,181,2
411,136,19,2
412,136,100,2
413,137,62,0
414,137,181,2
415,137,19,2
416,137,100,2
417,138,74,0
418,139,74,0
419,140,74,0
420,141,86,0
421,141,93,1
422,141,12,1
423,141,174,1
424,142,86,0
425,142,93,1
426,142,12,1
427,142,174,1
428,143,86,0
429,143,93,1
430,143,12,1
431,143,174,1
432,144,98,0
433,144,193,2
434,144,31,2
435,144,112,2
436,145,98,0
437,145,193,2
438,145,31,2
439,145,112,2
440,146,98,0
441,146,193,2
442,146,31,2
443,146,112,2
444,147,110,0
445,148,110,0
446,149,110,0
447,150,122,0
448,150,99,1
449,150,18,1
450,150,180,1
451,151,122,0
452,151,99,1
453,151,18,1
454,151,180,1
455,152,122,0
456,152,99,1
457,152,18,1
458,152,180,1
459,153,134,0
460,153,205,2
461,153,43,2
462,153,124,2
463,154,134,0
464,154,205,2
465,154,43,2
466,154,124,2
467,155,134,0
468,155,205,2
469,155,43,2
470,155,124,2
471,156,146,0
472,157,146,0
473,158,146,0
474,159,158,0
475,159,105,1
476,159,24,1
477,159,186,1
478,160,158,0
479,160,105,1
480,160,24,1
481,160,186,1
482,161,158,0
483,161,105,1
484,161,24,1
485,161,186,1
486,162,170,0
487,162,217,2
488,162,55,2
489,162,136,2
490,163,170,0
491,163,217,2
492,163,55,2
493,163,136,2
494,164,170,0
495,164,217,2
496,164,55,2
497,164,136,2
498,165,182,0
499,166,182,0
500,167,182,0
501,168,194,0
502,168,111,1
503,168,30,1
504,168,192,1
505,169,194,0
506,169,111,1
507,169,30,1
508,169,192,1
509,170,194,0
510,170,111,1
511,170,30,1
512,170,192,1
513,171,206,0
514,171,229,2
515,171,67,2
516,171,148,2
517,172,206,0
518,172,229,2
519,172,67,2
520,172,148,2
521,173,206,0
522,173,229,2
523,173,67,2
524,173,148,2
525,174,218,0
526,175,218,0
527,176,218,0
528,177,230,0
529,177,117,1
530,177,36,1
531,177,198,1
532,178,230,0
533,178,117,1
534,178,36,1
535,178,198,1
536,179,230,0
537,179,117,1
538,179,36,1
539,179,198,1
540,180,242,0
541,180,241,2
542,180,79,2
543,180,160,2
544,181,242,0
545,181,241,2
546,181,79,2
547,181,160,2
548,182,242,0
549,182,241,2
550,182,79,2
551,182,160,2
552,183,11,0
553,184,11,0
554,185,11,0
555,186,23,0
556,186,123,1
557,186,42,1
558,186,204,1
559,187,23,0
560,187,123,1
561,187,42,1
562,187,204,1
563,188,23,0
564,188,123,1
565,188,42,1
566,188,204,1
567,189,35,0
568,189,10,2
569,189,91,2
570,189,172,2
571,190,35,0
572,190,10,2
573,190,91,2
574,190,172,2
575,191,35,0
576,191,10,2
577,191,91,2
578,191,172,2
579,192,47,0
580,193,47,0
581,194,47,0
582,195,59,0
583,195,129,1
584,195,48,1
585,195,210,1
586,196,59,0
587,196,129,1
588,196,48,1
589,196,210,1
590,197,59,0
591,197,129,1
592,197,48,1
593,197,210,1
594,198,71,0
595,198,22,2
596,198,103,2
597,198,184,2
598,199,71,0
599,199,22,2
600,199,103,2
601,199,184,2
602,200,71,0
603,200,22,2
604,200,103,2
605,200,184,2
606,201,83,0
607,202,83,0
608,203,83,0
609,204,95,0
610,204,135,1
611,204,54,1
612,204,216,1
613,205,95,0
614,205,135,1
615,205,54,1
616,205,216,1
617,206,95,0
618,206,135,1
619,206,54,1
620,206,216,1
621,207,107,0
622,207,34,2
623,207,115,2
624,207,196,2
625,208,107,0
626,208,34,2
627,208,115,2
628,208,196,2
629,209,107,0
630,209,34,2
631,209,115,2
632,209,196,2
633,210,119,0
634,211,119,0
635,212,119,0
636,213,131,0
637,213,141,1
638,213,60,1
639,213,222,1
640,214,131,0
641,214,141,1
642,214,60,1
643,214,222,1
644,215,131,0
645,215,141,1
646,215,60,1
647,215,222,1
648,216,143,0
649,216,46,2
650,216,127,2
651,216,208,2
652,217,143,0
653,217,46,2
654,217,127,2
655,217,208,2
656,218,143,0
657,218,46,2
658,218,127,2
659,218,208,2
660,219,155,0
661,220,155,0
662,221,155,0
663,222,167,0
664,222,147,1
665,222,66,1
666,222,228,1
667,223,167,0
668,223,147,1
669,223,66,1
670,223,228,1
671,224,167,0
672,224,147,1
673,224,66,1
674,224,228,1
675,225,179,0
676,225,58,2
677,225,139,2
678,225,220,2
679,226,179,0
680,226,58,2
681,226,139,2
682,226,220,2
683,227,179,0
684,227,58,2
685,227,139,2
686,227,220,2
687,228,191,0
688,229,191,0
689,230,191,0
690,231,203,0
691,231,153,1
692,231,72,1
693,231,234,1
694,232,203,0
695,232,153,1
696,232,72,1
697,232,234,1
698,233,203,0
699,233,153,1
700,233,72,1
701,233,234,1
702,234,215,0
703,234,70,2
704,234,151,2
705,234,232,2
706,235,215,0
707,235,70,2
708,235,151,2
709,235,232,2
710,236,215,0
711,236,70,2
712,236,151,2
713,236,232,2
714,237,227,0
715,238,227,0
716,239,227,0
717,240,239,0
718,240,159,1
719,240,78,1
720,240,240,1
721,241,239,0
722,241,159,1
723,241,78,1
724,241,240,1
725,242,239,0
726,242,159,1
727,242,78,1
728,242,240,1
