source_id,source,branch,target,target_id,multiplicity_fraction,route,rule_derived
319,d4:r67:peven:b1,retarded,d4:r25:peven:b2,194,1,VISIBLE,yes
320,d4:r67:peven:b2,retarded,d4:r25:peven:b2,194,1,VISIBLE,yes
321,d4:r68:podd:b0,retarded,d4:r29:peven:b2,206,1,VISIBLE,yes
321,d4:r68:podd:b0,advanced,d3:r18:podd:b0,90,1/1,VISIBLE,yes
322,d4:r68:peven:b1,retarded,d4:r29:peven:b2,206,1,VISIBLE,yes
322,d4:r68:peven:b1,advanced,d3:r18:podd:b0,90,1/1,VISIBLE,yes
323,d4:r68:peven:b2,retarded,d4:r29:peven:b2,206,1,VISIBLE,yes
323,d4:r68:peven:b2,advanced,d3:r18:podd:b0,90,1/1,VISIBLE,yes
324,d4:r69:podd:b0,retarded,d4:r33:peven:b2,218,1,VISIBLE,yes
325,d4:r69:peven:b1,retarded,d4:r33:peven:b2,218,1,VISIBLE,yes
326,d4:r69:peven:b2,retarded,d4:r33:peven:b2,218,1,VISIBLE,yes
327,d4:r70:podd:b0,retarded,d4:r37:peven:b2,230,1,VISIBLE,yes
328,d4:r70:peven:b1,retarded,d4:r37:peven:b2,230,1,VISIBLE,yes
329,d4:r70:peven:b2,retarded,d4:r37:peven:b2,230,1,VISIBLE,yes
330,d4:r71:podd:b0,retarded,d4:r41:peven:b2,242,1,VISIBLE,yes
330,d4:r71:podd:b0,advanced,d3:r20:podd:b0,96,1/1,VISIBLE,yes
331,d4:r71:peven:b1,retarded,d4:r41:peven:b2,242,1,VISIBLE,yes
331,d4:r71:peven:b1,advanced,d3:r20:podd:b0,96,1/1,VISIBLE,yes
332,d4:r71:peven:b2,retarded,d4:r41:peven:b2,242,1,VISIBLE,yes
332,d4:r71:peven:b2,advanced,d3:r20:podd:b0,96,1/1,VISIBLE,yes
333,d4:r72:podd:b0,retarded,d4:r45:peven:b2,254,1,VISIBLE,yes
334,d4:r72:peven:b1,retarded,d4:r45:peven:b2,254,1,VISIBLE,yes
335,d4:r72:peven:b2,retarded,d4:r45:peven:b2,254,1,VISIBLE,yes
336,d4:r73:podd:b0,retarded,d4:r49:peven:b2,266,1,VISIBLE,yes
337,d4:r73:peven:b1,retarded,d4:r49:peven:b2,266,1,VISIBLE,yes
338,d4:r73:peven:b2,retarded,d4:r49:peven:b2,266,1,VISIBLE,yes
339,d4:r74:podd:b0,retarded,d4:r53:peven:b2,278,1,VISIBLE,yes
339,d4:r74:podd:b0,advanced,d3:r22:podd:b0,102,1/1,VISIBLE,yes
340,d4:r74:peven:b1,retarded,d4:r53:peven:b2,278,1,VISIBLE,yes
340,d4:r74:peven:b1,advanced,d3:r22:podd:b0,102,1/1,VISIBLE,yes
341,d4:r74:peven:b2,retarded,d4:r53:peven:b2,278,1,VISIBLE,yes
341,d4:r74:peven:b2,advanced,d3:r22:podd:b0,102,1/1,VISIBLE,yes
342,d4:r75:podd:b0,retarded,d4:r57:peven:b2,290,1,VISIBLE,yes
343,d4:r75:peven:b1,retarded,d4:r57:peven:b2,290,1,VISIBLE,yes
344,d4:r75:peven:b2,retarded,d4:r57:peven:b2,290,1,VISIBLE,yes
345,d4:r76:podd:b0,retarded,d4:r61:peven:b2,302,1,VISIBLE,yes
346,d4:r76:peven:b1,retarded,d4:r61:peven:b2,302,1,VISIBLE,yes
347,d4:r76:peven:b2,retarded,d4:r61:peven:b2,302,1,VISIBLE,yes
348,d4:r77:podd:b0,retarded,d4:r65:peven:b2,314,1,VISIBLE,yes
348,d4:r77:podd:b0,advanced,d3:r24:podd:b0,108,1/1,VISIBLE,yes
349,d4:r77:peven:b1,retarded,d4:r65:peven:b2,314,1,VISIBLE,yes
349,d4:r77:peven:b1,advanced,d3:r24:podd:b0,108,1/1,VISIBLE,yes
350,d4:r77:peven:b2,retarded,d4:r65:peven:b2,314,1,VISIBLE,yes
350,d4:r77:peven:b2,advanced,d3:r24:podd:b0,108,1/1,VISIBLE,yes
351,d4:r78:podd:b0,retarded,d4:r69:peven:b2,326,1,VISIBLE,yes
352,d4:r78:peven:b1,retarded,d4:r69:peven:b2,326,1,VISIBLE,yes
353,d4:r78:peven:b2,retarded,d4:r69:peven:b2,326,1,VISIBLE,yes
354,d4:r79:podd:b0,retarded,d4:r73:peven:b2,338,1,VISIBLE,yes
355,d4:r79:peven:b1,retarded,d4:r73:peven:b2,338,1,VISIBLE,yes
356,d4:r79:peven:b2,retarded,d4:r73:peven:b2,338,1,VISIBLE,yes
