source_id,source,branch,target,target_id,multiplicity_fraction,route,rule_derived
498,d5:r46:podd:b0,retarded,d5:r184:peven:b2,914,1,VISIBLE,yes
499,d5:r46:peven:b1,retarded,d5:r184:peven:b2,914,1,VISIBLE,yes
500,d5:r46:peven:b2,retarded,d5:r184:peven:b2,914,1,VISIBLE,yes
501,d5:r47:podd:b0,retarded,d5:r188:peven:b2,926,1,VISIBLE,yes
501,d5:r47:podd:b0,advanced,d4:r31:podd:b0,210,1/1,VISIBLE,yes
502,d5:r47:peven:b1,retarded,d5:r188:peven:b2,926,1,VISIBLE,yes
502,d5:r47:peven:b1,advanced,d4:r31:podd:b0,210,1/1,VISIBLE,yes
503,d5:r47:peven:b2,retarded,d5:r188:peven:b2,926,1,VISIBLE,yes
503,d5:r47:peven:b2,advanced,d4:r31:podd:b0,210,1/1,VISIBLE,yes
504,d5:r48:podd:b0,retarded,d5:r192:peven:b2,938,1,VISIBLE,yes
505,d5:r48:peven:b1,retarded,d5:r192:peven:b2,938,1,VISIBLE,yes
506,d5:r48:peven:b2,retarded,d5:r192:peven:b2,938,1,VISIBLE,yes
507,d5:r49:podd:b0,retarded,d5:r196:peven:b2,950,1,VISIBLE,yes
508,d5:r49:peven:b1,retarded,d5:r196:peven:b2,950,1,VISIBLE,yes
509,d5:r49:peven:b2,retarded,d5:r196:peven:b2,950,1,VISIBLE,yes
510,d5:r50:podd:b0,retarded,d5:r200:peven:b2,962,1,VISIBLE,yes
510,d5:r50:podd:b0,advanced,d4:r33:podd:b0,216,1/1,VISIBLE,yes
