source_id,source,branch,target_id,target,route,multiplicity,scale_weight,scale_weight_decimal,rule_derived
979,d5:r206:peven:b1,retarded,647,d5:r95:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
979,d5:r206:peven:b1,advanced,285,d4:r56:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
980,d5:r206:peven:b2,retarded,647,d5:r95:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
980,d5:r206:peven:b2,advanced,285,d4:r56:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
981,d5:r207:podd:b0,retarded,659,d5:r99:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
982,d5:r207:peven:b1,retarded,659,d5:r99:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
983,d5:r207:peven:b2,retarded,659,d5:r99:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
984,d5:r208:podd:b0,retarded,671,d5:r103:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
985,d5:r208:peven:b1,retarded,671,d5:r103:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
986,d5:r208:peven:b2,retarded,671,d5:r103:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
987,d5:r209:podd:b0,retarded,683,d5:r107:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
987,d5:r209:podd:b0,advanced,291,d4:r58:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
988,d5:r209:peven:b1,retarded,683,d5:r107:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
988,d5:r209:peven:b1,advanced,291,d4:r58:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
989,d5:r209:peven:b2,retarded,683,d5:r107:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
989,d5:r209:peven:b2,advanced,291,d4:r58:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
990,d5:r210:podd:b0,retarded,695,d5:r111:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
991,d5:r210:peven:b1,retarded,695,d5:r111:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
992,d5:r210:peven:b2,retarded,695,d5:r111:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
993,d5:r211:podd:b0,retarded,707,d5:r115:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
994,d5:r211:peven:b1,retarded,707,d5:r115:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
995,d5:r211:peven:b2,retarded,707,d5:r115:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
996,d5:r212:podd:b0,retarded,719,d5:r119:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
996,d5:r212:podd:b0,advanced,297,d4:r60:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
997,d5:r212:peven:b1,retarded,719,d5:r119:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
997,d5:r212:peven:b1,advanced,297,d4:r60:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
998,d5:r212:peven:b2,retarded,719,d5:r119:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
998,d5:r212:peven:b2,advanced,297,d4:r60:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
999,d5:r213:podd:b0,retarded,731,d5:r123:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1000,d5:r213:peven:b1,retarded,731,d5:r123:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1001,d5:r213:peven:b2,retarded,731,d5:r123:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1002,d5:r214:podd:b0,retarded,743,d5:r127:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1003,d5:r214:peven:b1,retarded,743,d5:r127:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1004,d5:r214:peven:b2,retarded,743,d5:r127:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1005,d5:r215:podd:b0,retarded,755,d5:r131:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1005,d5:r215:podd:b0,advanced,303,d4:r62:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1006,d5:r215:peven:b1,retarded,755,d5:r131:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1006,d5:r215:peven:b1,advanced,303,d4:r62:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1007,d5:r215:peven:b2,retarded,755,d5:r131:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1007,d5:r215:peven:b2,advanced,303,d4:r62:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1008,d5:r216:podd:b0,retarded,767,d5:r135:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1009,d5:r216:peven:b1,retarded,767,d5:r135:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1010,d5:r216:peven:b2,retarded,767,d5:r135:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1011,d5:r217:podd:b0,retarded,779,d5:r139:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1012,d5:r217:peven:b1,retarded,779,d5:r139:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1013,d5:r217:peven:b2,retarded,779,d5:r139:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1014,d5:r218:podd:b0,retarded,791,d5:r143:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1014,d5:r218:podd:b0,advanced,309,d4:r64:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1015,d5:r218:peven:b1,retarded,791,d5:r143:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1015,d5:r218:peven:b1,advanced,309,d4:r64:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1016,d5:r218:peven:b2,retarded,791,d5:r143:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1016,d5:r218:peven:b2,advanced,309,d4:r64:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1017,d5:r219:podd:b0,retarded,803,d5:r147:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1018,d5:r219:peven:b1,retarded,803,d5:r147:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1019,d5:r219:peven:b2,retarded,803,d5:r147:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1020,d5:r220:podd:b0,retarded,815,d5:r151:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1021,d5:r220:peven:b1,retarded,815,d5:r151:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1022,d5:r220:peven:b2,retarded,815,d5:r151:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1023,d5:r221:podd:b0,retarded,827,d5:r155:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1023,d5:r221:podd:b0,advanced,315,d4:r66:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1024,d5:r221:peven:b1,retarded,827,d5:r155:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1024,d5:r221:peven:b1,advanced,315,d4:r66:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1025,d5:r221:peven:b2,retarded,827,d5:r155:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1025,d5:r221:peven:b2,advanced,315,d4:r66:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1026,d5:r222:podd:b0,retarded,839,d5:r159:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1027,d5:r222:peven:b1,retarded,839,d5:r159:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1028,d5:r222:peven:b2,retarded,839,d5:r159:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1029,d5:r223:podd:b0,retarded,851,d5:r163:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1030,d5:r223:peven:b1,retarded,851,d5:r163:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1031,d5:r223:peven:b2,retarded,851,d5:r163:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1032,d5:r224:podd:b0,retarded,863,d5:r167:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1032,d5:r224:podd:b0,advanced,321,d4:r68:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1033,d5:r224:peven:b1,retarded,863,d5:r167:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1033,d5:r224:peven:b1,advanced,321,d4:r68:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1034,d5:r224:peven:b2,retarded,863,d5:r167:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1034,d5:r224:peven:b2,advanced,321,d4:r68:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1035,d5:r225:podd:b0,retarded,875,d5:r171:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1036,d5:r225:peven:b1,retarded,875,d5:r171:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1037,d5:r225:peven:b2,retarded,875,d5:r171:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1038,d5:r226:podd:b0,retarded,887,d5:r175:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1039,d5:r226:peven:b1,retarded,887,d5:r175:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1040,d5:r226:peven:b2,retarded,887,d5:r175:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1041,d5:r227:podd:b0,retarded,899,d5:r179:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1041,d5:r227:podd:b0,advanced,327,d4:r70:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1042,d5:r227:peven:b1,retarded,899,d5:r179:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1042,d5:r227:peven:b1,advanced,327,d4:r70:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1043,d5:r227:peven:b2,retarded,899,d5:r179:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1043,d5:r227:peven:b2,advanced,327,d4:r70:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1044,d5:r228:podd:b0,retarded,911,d5:r183:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1045,d5:r228:peven:b1,retarded,911,d5:r183:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1046,d5:r228:peven:b2,retarded,911,d5:r183:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1047,d5:r229:podd:b0,retarded,923,d5:r187:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1048,d5:r229:peven:b1,retarded,923,d5:r187:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1049,d5:r229:peven:b2,retarded,923,d5:r187:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1050,d5:r230:podd:b0,retarded,935,d5:r191:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1050,d5:r230:podd:b0,advanced,333,d4:r72:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1051,d5:r230:peven:b1,retarded,935,d5:r191:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1051,d5:r230:peven:b1,advanced,333,d4:r72:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1052,d5:r230:peven:b2,retarded,935,d5:r191:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1052,d5:r230:peven:b2,advanced,333,d4:r72:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1053,d5:r231:podd:b0,retarded,947,d5:r195:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1054,d5:r231:peven:b1,retarded,947,d5:r195:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1055,d5:r231:peven:b2,retarded,947,d5:r195:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1056,d5:r232:podd:b0,retarded,959,d5:r199:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1057,d5:r232:peven:b1,retarded,959,d5:r199:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1058,d5:r232:peven:b2,retarded,959,d5:r199:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1059,d5:r233:podd:b0,retarded,971,d5:r203:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1059,d5:r233:podd:b0,advanced,339,d4:r74:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1060,d5:r233:peven:b1,retarded,971,d5:r203:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1060,d5:r233:peven:b1,advanced,339,d4:r74:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1061,d5:r233:peven:b2,retarded,971,d5:r203:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1061,d5:r233:peven:b2,advanced,339,d4:r74:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1062,d5:r234:podd:b0,retarded,983,d5:r207:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1063,d5:r234:peven:b1,retarded,983,d5:r207:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1064,d5:r234:peven:b2,retarded,983,d5:r207:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1065,d5:r235:podd:b0,retarded,995,d5:r211:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1066,d5:r235:peven:b1,retarded,995,d5:r211:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1067,d5:r235:peven:b2,retarded,995,d5:r211:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1068,d5:r236:podd:b0,retarded,1007,d5:r215:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1068,d5:r236:podd:b0,advanced,345,d4:r76:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1069,d5:r236:peven:b1,retarded,1007,d5:r215:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1069,d5:r236:peven:b1,advanced,345,d4:r76:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1070,d5:r236:peven:b2,retarded,1007,d5:r215:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1070,d5:r236:peven:b2,advanced,345,d4:r76:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1071,d5:r237:podd:b0,retarded,1019,d5:r219:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1072,d5:r237:peven:b1,retarded,1019,d5:r219:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1073,d5:r237:peven:b2,retarded,1019,d5:r219:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1074,d5:r238:podd:b0,retarded,1031,d5:r223:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1075,d5:r238:peven:b1,retarded,1031,d5:r223:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1076,d5:r238:peven:b2,retarded,1031,d5:r223:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1077,d5:r239:podd:b0,retarded,1043,d5:r227:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1077,d5:r239:podd:b0,advanced,351,d4:r78:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1078,d5:r239:peven:b1,retarded,1043,d5:r227:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1078,d5:r239:peven:b1,advanced,351,d4:r78:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1079,d5:r239:peven:b2,retarded,1043,d5:r227:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1079,d5:r239:peven:b2,advanced,351,d4:r78:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1080,d5:r240:podd:b0,retarded,1055,d5:r231:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1081,d5:r240:peven:b1,retarded,1055,d5:r231:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1082,d5:r240:peven:b2,retarded,1055,d5:r231:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1083,d5:r241:podd:b0,retarded,1067,d5:r235:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1084,d5:r241:peven:b1,retarded,1067,d5:r235:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1085,d5:r241:peven:b2,retarded,1067,d5:r235:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1086,d5:r242:podd:b0,retarded,1079,d5:r239:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1086,d5:r242:podd:b0,advanced,357,d4:r80:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1087,d5:r242:peven:b1,retarded,1079,d5:r239:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1087,d5:r242:peven:b1,advanced,357,d4:r80:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
1088,d5:r242:peven:b2,retarded,1079,d5:r239:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1088,d5:r242:peven:b2,advanced,357,d4:r80:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
