phase,modulus,parent_class,parent_residue,y,roots_lift0,roots_lift1,roots_lift2,target_mass_lift0,target_mass_lift1,target_mass_lift2,target_mass_total,advanced_mass_lift0,advanced_mass_lift1,advanced_mass_lift2,advanced_mass_total,advanced_share_lift0_fraction,advanced_share_lift1_fraction,advanced_share_lift2_fraction,advanced_share_lift0,advanced_share_lift1,advanced_share_lift2,min_advanced_share,max_advanced_share,advanced_capture_fraction,advanced_total_nonzero
calibration,36,8,35,10,96,96,96,516921,1768871,2675517,4961309,429696,1722259,2642068,4794023,429696/4794023,1722259/4794023,203236/368771,0.089631610028,0.359251301047,0.551117088925,0.089631610028,0.551117088925,4794023/4961309,True
calibration,108,2,2,8,32,32,32,86635,37559,143724,267918,74346,32020,134212,240578,37173/120289,16010/120289,5162/9253,0.309030750941,0.133096126828,0.557873122231,0.133096126828,0.557873122231,120289/133959,True
calibration,108,2,2,9,32,32,32,171522,74609,287363,533494,147135,63517,268213,478865,29427/95773,63517/478865,268213/478865,0.307257786641,0.132640723377,0.560101489982,0.132640723377,0.560101489982,478865/533494,True
calibration,108,2,2,10,32,32,32,339278,146975,572641,1058894,291403,125640,534581,951624,291403/951624,1745/13217,534581/951624,0.306216530899,0.132026935008,0.561756534093,0.132026935008,0.561756534093,475812/529447,True
calibration,108,2,11,8,32,32,32,29993,54313,34798,119104,10292,7625,19275,37192,2573/9298,7625/37192,19275/37192,0.276726177673,0.205017208002,0.518256614326,0.205017208002,0.518256614326,4649/14888,True
calibration,108,2,11,9,32,32,32,59981,109502,68933,238416,20664,14779,38487,73930,10332/36965,14779/73930,38487/73930,0.279507642364,0.199905315839,0.520587041796,0.199905315839,0.520587041796,36965/119208,True
calibration,108,2,11,10,32,32,32,120118,216066,136810,472994,40744,29307,75784,145835,40744/145835,29307/145835,75784/145835,0.279384235609,0.200959989029,0.519655775363,0.200959989029,0.519655775363,145835/472994,True
calibration,108,2,20,8,32,32,32,159481,60074,112231,331786,104924,22303,91016,218243,104924/218243,22303/218243,91016/218243,0.480766851629,0.102193426593,0.417039721778,0.102193426593,0.480766851629,218243/331786,True
calibration,108,2,20,9,32,32,32,323755,120753,221597,666105,215046,45135,180948,441129,5514/11311,15045/147043,60316/147043,0.487490053930,0.102317009310,0.410192936760,0.102317009310,0.487490053930,147043/222035,True
calibration,108,2,20,10,32,32,32,644204,242743,443929,1330876,426672,89716,363354,879742,213336/439871,44858/439871,181677/439871,0.484996737680,0.101979898652,0.413023363668,0.101979898652,0.484996737680,439871/665438,True
calibration,108,2,29,8,32,32,32,45931,82703,51505,180139,39384,74520,39073,152977,39384/152977,74520/152977,39073/152977,0.257450466410,0.487132052531,0.255417481059,0.255417481059,0.487132052531,152977/180139,True
calibration,108,2,29,9,32,32,32,91589,163231,103774,358594,78488,147257,78442,304187,78488/304187,147257/304187,6034/23399,0.258025490899,0.484100240970,0.257874268131,0.257874268131,0.484100240970,304187/358594,True
calibration,108,2,29,10,32,32,32,184899,326490,210555,721944,157053,294092,159240,610385,157053/610385,294092/610385,31848/122077,0.257301539192,0.481813937105,0.260884523702,0.257301539192,0.481813937105,610385/721944,True
calibration,108,2,38,8,32,32,32,62431,33252,32791,128474,8164,17622,10269,36055,8164/36055,17622/36055,10269/36055,0.226431840244,0.488753293579,0.284814866177,0.226431840244,0.488753293579,36055/128474,True
calibration,108,2,38,9,32,32,32,123054,65609,66651,255314,16136,34485,20625,71246,8068/35623,34485/71246,20625/71246,0.226482890268,0.484027173455,0.289489936277,0.226482890268,0.484027173455,35623/127657,True
calibration,108,2,38,10,32,32,32,245845,130060,134186,510091,32284,68416,42895,143595,32284/143595,68416/143595,8579/28719,0.224826769734,0.476451129914,0.298722100352,0.224826769734,0.476451129914,143595/510091,True
calibration,108,2,47,8,32,32,32,60548,117235,205321,383104,23338,105580,104319,233237,23338/233237,105580/233237,104319/233237,0.100061311027,0.452672603403,0.447266085570,0.100061311027,0.452672603403,233237/383104,True
calibration,108,2,47,9,32,32,32,119045,236157,413254,768456,46626,212962,207604,467192,23313/233596,106481/233596,51901/116798,0.099800510283,0.455834004007,0.444365485710,0.099800510283,0.455834004007,58399/96057,True
calibration,108,2,47,10,32,32,32,243096,468412,824419,1535927,91573,422769,410261,924603,91573/924603,140923/308201,410261/924603,0.099040344883,0.457243811668,0.443715843448,0.099040344883,0.457243811668,924603/1535927,True
calibration,108,2,56,8,32,32,32,95353,104007,36834,236194,87055,90964,31178,209197,87055/209197,90964/209197,31178/209197,0.416138854764,0.434824591175,0.149036554061,0.149036554061,0.434824591175,209197/236194,True
calibration,108,2,56,9,32,32,32,191709,206997,72484,471190,175553,181340,61759,418652,175553/418652,45335/104663,61759/418652,0.419329180322,0.433152116794,0.147518702884,0.147518702884,0.433152116794,209326/235595,True
calibration,108,2,56,10,32,32,32,394180,410535,145422,950137,361438,358087,124066,843591,51634/120513,358087/843591,7298/49623,0.428451702306,0.424479398192,0.147068899502,0.147068899502,0.428451702306,843591/950137,True
calibration,108,2,65,8,32,32,32,33347,33308,46056,112711,18103,11932,10194,40229,18103/40229,11932/40229,10194/40229,0.449998757116,0.296601953814,0.253399289070,0.253399289070,0.449998757116,40229/112711,True
calibration,108,2,65,9,32,32,32,68995,67416,93885,230296,37400,24083,21162,82645,7480/16529,24083/82645,21162/82645,0.452537963579,0.291402988687,0.256059047734,0.256059047734,0.452537963579,82645/230296,True
calibration,108,2,65,10,32,32,32,138518,136635,188402,463555,74890,47359,43058,165307,74890/165307,47359/165307,43058/165307,0.453035866600,0.286491195170,0.260472938230,0.260472938230,0.453035866600,165307/463555,True
calibration,108,2,74,8,32,32,32,86508,241915,56096,384519,73508,103011,22924,199443,73508/199443,34337/66481,22924/199443,0.368566457584,0.516493434214,0.114940108201,0.114940108201,0.516493434214,66481/128173,True
calibration,108,2,74,9,32,32,32,174850,485151,111143,771144,149507,206008,44365,399880,149507/399880,25751/49985,8873/79976,0.373879663899,0.515174552366,0.110945783735,0.110945783735,0.515174552366,49985/96393,True
calibration,108,2,74,10,32,32,32,349666,975014,220002,1544682,298688,407003,88188,793879,298688/793879,407003/793879,88188/793879,0.376238696325,0.512676365038,0.111084938637,0.111084938637,0.512676365038,793879/1544682,True
calibration,108,2,83,8,32,32,32,52895,43596,85621,182112,40336,38560,75347,154243,40336/154243,38560/154243,75347/154243,0.261509436409,0.249995137543,0.488495426049,0.249995137543,0.488495426049,154243/182112,True
calibration,108,2,83,9,32,32,32,106948,87099,170679,364726,82595,76912,149354,308861,82595/308861,76912/308861,149354/308861,0.267418029470,0.249018166748,0.483563803782,0.249018166748,0.483563803782,308861/364726,True
calibration,108,2,83,10,32,32,32,210149,174248,344532,728929,162788,154091,303044,619923,162788/619923,154091/619923,303044/619923,0.262593902791,0.248564741105,0.488841356104,0.248564741105,0.488841356104,619923/728929,True
calibration,108,2,92,8,32,32,32,40657,48821,39807,129285,18388,7748,22440,48576,4597/12144,1937/12144,85/184,0.378540843215,0.159502635046,0.461956521739,0.159502635046,0.461956521739,16192/43095,True
calibration,108,2,92,9,32,32,32,81146,96819,80613,258578,36495,15448,44975,96918,12165/32306,7724/48459,44975/96918,0.376555438618,0.159392476114,0.464052085268,0.159392476114,0.464052085268,48459/129289,True
calibration,108,2,92,10,32,32,32,163851,191335,158907,514093,72602,29636,88844,191082,36301/95541,14818/95541,44422/95541,0.379952062465,0.155095718069,0.464952219466,0.155095718069,0.464952219466,191082/514093,True
calibration,108,2,101,8,32,32,32,167080,69612,87121,323813,119644,28180,74254,222078,59822/111039,14090/111039,37127/111039,0.538747647223,0.126892353137,0.334359999640,0.126892353137,0.538747647223,222078/323813,True
calibration,108,2,101,9,32,32,32,333649,137090,174900,645639,239823,55562,150324,445709,239823/445709,55562/445709,150324/445709,0.538070804045,0.124659811671,0.337269384284,0.124659811671,0.538070804045,445709/645639,True
calibration,108,2,101,10,32,32,32,670311,270587,352322,1293220,485243,108304,302938,896485,485243/896485,108304/896485,302938/896485,0.541272860115,0.120809606407,0.337917533478,0.120809606407,0.541272860115,179297/258644,True
calibration,108,8,8,8,32,32,32,47367,26377,36026,109770,42736,19892,23386,86014,21368/43007,9946/43007,11693/43007,0.496849350106,0.231264677843,0.271885972051,0.231264677843,0.496849350106,43007/54885,True
calibration,108,8,8,9,32,32,32,95306,52602,70714,218622,85725,39983,45361,171069,225/449,39983/171069,45361/171069,0.501113585746,0.233724403603,0.265162010651,0.233724403603,0.501113585746,57023/72874,True
calibration,108,8,8,10,32,32,32,198524,103987,141883,444394,179946,78127,90186,348259,179946/348259,78127/348259,90186/348259,0.516701650209,0.224335910917,0.258962438875,0.224335910917,0.516701650209,348259/444394,True
calibration,108,8,17,8,32,32,32,59073,74090,143175,276338,56515,67719,138954,263188,56515/263188,67719/263188,69477/131594,0.214732434609,0.257302764564,0.527964800827,0.214732434609,0.527964800827,131594/138169,True
calibration,108,8,17,9,32,32,32,117454,146377,284164,547995,112509,134511,275546,522566,112509/522566,134511/522566,137773/261283,0.215301033745,0.257404806283,0.527294159972,0.215301033745,0.527294159972,522566/547995,True
calibration,108,8,17,10,32,32,32,232824,290513,560158,1083495,223517,267490,541187,1032194,223517/1032194,5815/22439,541187/1032194,0.216545533107,0.259147020812,0.524307446081,0.216545533107,0.524307446081,1032194/1083495,True
calibration,108,8,26,8,32,32,32,142403,63475,224777,430655,139990,60085,222096,422171,139990/422171,305/2143,222096/422171,0.331595490927,0.142323845077,0.526080663996,0.142323845077,0.526080663996,422171/430655,True
calibration,108,8,26,9,32,32,32,283124,131798,449968,864890,278321,125433,444266,848020,278321/848020,125433/848020,222133/424010,0.328200985826,0.147912785076,0.523886229098,0.147912785076,0.523886229098,84802/86489,True
calibration,108,8,26,10,32,32,32,563468,265115,902256,1730839,554059,252828,890355,1697242,554059/1697242,126414/848621,890355/1697242,0.326446670540,0.148964025166,0.524589304295,0.148964025166,0.524589304295,1697242/1730839,True
calibration,108,8,35,8,32,32,32,24143,32563,69670,126376,18631,20497,65288,104416,18631/104416,20497/104416,8161/13052,0.178430508734,0.196301333129,0.625268158137,0.178430508734,0.625268158137,13052/15797,True
calibration,108,8,35,9,32,32,32,48245,65594,141163,255002,36938,42331,131758,211027,36938/211027,42331/211027,131758/211027,0.175039212992,0.200595184502,0.624365602506,0.175039212992,0.624365602506,211027/255002,True
calibration,108,8,35,10,32,32,32,96482,140389,280050,516921,73999,94475,261222,429696,73999/429696,94475/429696,43537/71616,0.172212447870,0.219864741585,0.607922810545,0.172212447870,0.607922810545,143232/172307,True
calibration,108,8,44,8,32,32,32,83301,139659,57336,280296,74913,135635,54744,265292,74913/265292,135635/265292,13686/66323,0.282379415889,0.511266830511,0.206353753600,0.206353753600,0.511266830511,66323/70074,True
calibration,108,8,44,9,32,32,32,166398,275878,115097,557373,150292,268324,110373,528989,150292/528989,7252/14297,110373/528989,0.284111767920,0.507239280968,0.208648951112,0.208648951112,0.507239280968,528989/557373,True
calibration,108,8,44,10,32,32,32,335042,558587,229621,1123250,302871,542039,220517,1065427,302871/1065427,542039/1065427,20047/96857,0.284271939795,0.508752828678,0.206975231527,0.206975231527,0.508752828678,1065427/1123250,True
calibration,108,8,53,8,32,32,32,74690,450623,199969,725282,71280,448200,197437,716917,71280/716917,448200/716917,197437/716917,0.099425735476,0.625176973067,0.275397291458,0.099425735476,0.625176973067,716917/725282,True
calibration,108,8,53,9,32,32,32,146063,904960,397552,1448575,139414,899643,392670,1431727,12674/130157,899643/1431727,392670/1431727,0.097374709005,0.628362110933,0.274263180062,0.097374709005,0.628362110933,1431727/1448575,True
calibration,108,8,53,10,32,32,32,289624,1811656,791856,2893136,276809,1800855,782519,2860183,276809/2860183,1800855/2860183,782519/2860183,0.096780171059,0.629629292951,0.273590535990,0.096780171059,0.629629292951,2860183/2893136,True
calibration,108,8,62,8,32,32,32,31368,43468,25595,100431,21049,39433,17164,77646,21049/77646,39433/77646,8582/38823,0.271089302733,0.507856167736,0.221054529531,0.221054529531,0.507856167736,25882/33477,True
calibration,108,8,62,9,32,32,32,61927,85233,49411,196571,41843,77238,33412,152493,41843/152493,25746/50831,33412/152493,0.274392922954,0.506501937794,0.219105139252,0.219105139252,0.506501937794,152493/196571,True
calibration,108,8,62,10,32,32,32,122555,171805,99125,393485,82576,156512,66952,306040,10322/38255,19564/38255,8369/38255,0.269820938439,0.511410273167,0.218768788394,0.218768788394,0.511410273167,61208/78697,True
calibration,108,8,71,8,32,32,32,264592,67443,108459,440494,260771,64731,102902,428404,260771/428404,64731/428404,51451/214202,0.608703466821,0.151098028963,0.240198504216,0.151098028963,0.608703466821,214202/220247,True
calibration,108,8,71,9,32,32,32,535105,133658,217027,885790,527945,128799,205938,862682,527945/862682,128799/862682,6057/25373,0.611981008066,0.149300669308,0.238718322626,0.149300669308,0.611981008066,431341/442895,True
calibration,108,8,71,10,32,32,32,1069154,269526,430191,1768871,1054569,259766,407924,1722259,1054569/1722259,259766/1722259,37084/156569,0.612317311159,0.150828650046,0.236854038794,0.150828650046,0.612317311159,1722259/1768871,True
calibration,108,8,80,8,32,32,32,653432,150250,49087,852769,651074,147561,45249,843884,325537/421942,147561/843884,45249/843884,0.771520730337,0.174859340857,0.053619928805,0.053619928805,0.771520730337,843884/852769,True
