phase,interval_lower,interval_upper_exclusive,modulus,parent_class,parent_residue,lift,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,interval_hook,root_residue_hook,lift_index_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,1,10369,36,2,2,0,1730,1153,2306,9,885760,885504,1950,1157,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,1730,1153,2306,10,1771520,1771008,4014,2471,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,1838,1225,2450,8,470528,470400,3885,3507,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,1838,1225,2450,9,941056,940800,8970,8257,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,1838,1225,2450,10,1882112,1881600,18599,17326,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,1946,1297,2594,8,498176,498048,1967,1634,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,1946,1297,2594,9,996352,996096,3736,3142,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,1946,1297,2594,10,1992704,1992192,7144,6001,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2054,1369,2738,8,525824,525696,647,496,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2054,1369,2738,9,1051648,1051392,1446,1130,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2054,1369,2738,10,2103296,2102784,2821,2190,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2162,1441,2882,8,553472,553344,1541,1365,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2162,1441,2882,9,1106944,1106688,3108,2586,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2162,1441,2882,10,2213888,2213376,5854,4847,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2270,1513,3026,8,581120,580992,1046,558,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2270,1513,3026,9,1162240,1161984,2041,1101,True,True,True,True,True,True,True,True
