mode,row_kind,retarded_mode,auxiliary_mode,target,slack
5840,D3,3677,3893,373473711/50000000,6789517086126097264470448429/620594065125000000000000000000000
5843,D1,3689,1229,97574199/20000000,88694495002530521642081/12411881302500000000000000000
5846,D2,3701,,45271031/25000000,328714480849/124118813025000000
5849,D3,3713,3899,283049469/50000000,10292848420860610001996820887/1241188130250000000000000000000000
5852,D1,3725,1241,886349873/100000000,402697160289569729680961/31029703256250000000000000000
5855,D2,3737,,138860381/100000000,1010163229499/496475252100000000
5858,D3,3749,3905,268279449/25000000,975204138912837240644298013/62059406512500000000000000000000
5861,D1,3761,1253,305786867/50000000,23164302041717579115067/2585808604687500000000000000
5864,D2,3773,,32655051/20000000,237064366429/99295050420000000
5867,D3,3785,3911,238003887/100000000,577831641895433514147483169/165491750700000000000000000000000
5870,D1,3797,1265,21629467/4000000,109210909433427580311493/13790979225000000000000000000
5873,D2,3809,,177170049/100000000,1285381556471/496475252100000000
5876,D3,3821,3917,312048793/50000000,1891211958475700194623454523/206864688375000000000000000000000
5879,D1,3833,1277,326482453/50000000,593298169450516971831577/62059406512500000000000000000
5882,D2,3845,,33604253/25000000,244601928187/124118813025000000
5885,D3,3857,3923,43709191/12500000,3177357885205133706400441121/620594065125000000000000000000000
5888,D1,3869,1289,62402989/10000000,2362139695888313153243/258580860468750000000000000
5891,D2,3881,,318960347/100000000,2320332715213/496475252100000000
5894,D3,3893,3929,253346923/50000000,6133974512533837777625664077/827458753500000000000000000000000
5897,D1,3905,1301,536239491/100000000,975516693030346555357363/124118813025000000000000000000
5900,D2,3917,,125708433/100000000,913152290407/496475252100000000
5903,D3,3929,3935,131631861/12500000,76526084109717616427275914359/4964752521000000000000000000000000
5906,D1,3941,1313,283451233/50000000,12726091687423893191461/1532331025000000000000000000
5909,D2,3953,,9969023/6250000,72428843017/31029703256250000
5912,D3,3965,3941,159809281/20000000,58094685137273709208518298561/4964752521000000000000000000000000
5915,D1,3977,1325,510111593/100000000,154431826430046706597903/20686468837500000000000000000
5918,D2,3989,,277755697/100000000,672765712621/165491750700000000
5921,D3,4001,3947,112980993/12500000,32854717468869855244160698147/2482376260500000000000000000000000
5924,D1,4013,1337,51571539/10000000,104159132156441929117669/13790979225000000000000000000
5927,D2,4025,,232895611/50000000,1692957914669/248237626050000000
5930,D3,4037,3953,89053949/12500000,12939511661975313020913749611/1241188130250000000000000000000000
5933,D1,4049,1349,767184993/100000000,87172631465625868200737/7757425814062500000000000000
5936,D2,4061,,181381917/100000000,1318310437243/496475252100000000
5939,D3,4073,3959,1234339503/100000000,89709371358885513802313458289/4964752521000000000000000000000000
5942,D1,4085,1361,407295957/100000000,15425061498295448099777/2585808604687500000000000000
5945,D2,4097,,12533173/5000000,91192120867/24823762605000000
5948,D3,4109,3965,16639511/6250000,9679208590992456715892502467/2482376260500000000000000000000000
5951,D1,4121,1373,344186159/100000000,125127436271896547155829/24823762605000000000000000000
5954,D2,4133,,189879751/100000000,1382735897729/496475252100000000
5957,D3,4145,3971,125159949/20000000,9099067002568793612281240153/992950504200000000000000000000000
5960,D1,4157,1385,518477989/100000000,942758298174093113599441/124118813025000000000000000000
5963,D2,4169,,2810629/1000000,20458654291/4964752521000000
5966,D3,4181,3977,484926651/100000000,35263839429192296696790073687/4964752521000000000000000000000000
5969,D1,4193,1397,199432079/20000000,1811933775124077551634209/124118813025000000000000000000
5972,D2,4205,,19182751/10000000,15499226081/5516391690000000
5975,D3,4217,3983,3045101/781250,4719095339496677629064671781/827458753500000000000000000000000
5978,D1,4229,1409,492391/125000,238638695674338580522309/41372937675000000000000000000
5981,D2,4241,,15448941/10000000,12464829971/5516391690000000
5984,D3,4253,3989,1258250193/100000000,73206439554952957471807517/3971802016800000000000000000000
5987,D1,4265,1421,479335763/50000000,174150840095091367595257/12411881302500000000000000000
5990,D2,4277,,130983141/100000000,318037250513/165491750700000000
5993,D3,4289,3995,80377669/5000000,116903213973271578714256800053/4964752521000000000000000000000000
5996,D1,4301,1433,674752447/100000000,1225943917696409238710849/124118813025000000000000000000
5999,D2,4313,,528959219/100000000,3843163558901/496475252100000000
6002,D3,4325,4001,479367073/100000000,4359058926539545408247969251/620594065125000000000000000000000
6005,D1,4337,1445,459991041/100000000,278589221665716172572497/41372937675000000000000000000
6008,D2,4349,,867741/400000,6301874939/1985901008400000
6011,D3,4361,4007,230860701/25000000,67122157445463678944524085863/4964752521000000000000000000000000
6014,D1,4373,1457,39365107/1562500,4578547389788151648380891/124118813025000000000000000000
6017,D2,4385,,60791527/50000000,441071310433/248237626050000000
6020,D3,4397,4013,1448504169/100000000,2925180400537482204415977481/137909792250000000000000000000000
6023,D1,4409,1469,374826973/100000000,681254831510961624128501/124118813025000000000000000000
6026,D2,4421,,118668821/50000000,95797350251/27581958450000000
6029,D3,4433,4019,179625707/50000000,8710227541635184424921753267/1654917507000000000000000000000000
6032,D1,4445,1481,414560157/100000000,251095521592547578522117/41372937675000000000000000000
6035,D2,4457,,6120953/4000000,44410327487/19859010084000000
6038,D3,4469,4025,1922204729/100000000,6987285143558838420280810211/248237626050000000000000000000000
6041,D1,4481,1493,140675817/20000000,1278778766103592653254143/124118813025000000000000000000
