mode,row_kind,retarded_mode,auxiliary_mode,target,slack
2,D1,8,2,117415021/20000000,1067785136904128278700669/124118813025000000000000000000
5,D2,20,,265481979/100000000,642759893647/165491750700000000
8,D3,32,5,52351021/12500000,5072938672679369151027699469/827458753500000000000000000000000
11,D1,44,14,46155427/12500000,4196126622403829081293/775742581406250000000000000
14,D2,56,,1574891/800000,11457449789/3971802016800000
17,D3,68,11,140733937/25000000,5112100198512187594643451511/620594065125000000000000000000000
20,D1,80,26,205945977/25000000,14974950536292096692497/1241188130250000000000000000
23,D2,92,,28870823/20000000,7783977971/3677594460000000
26,D3,104,17,418449819/50000000,15215550978717142830392036941/1241188130250000000000000000000000
29,D1,116,38,508600149/100000000,924282387669435282375151/124118813025000000000000000000
32,D2,128,,194398827/100000000,1410372307133/496475252100000000
35,D3,140,23,242925107/100000000,17673572266925767232677768991/4964752521000000000000000000000000
38,D1,152,50,102216901/20000000,464135543425441830140321/62059406512500000000000000000
41,D2,164,,208744069/100000000,1515588452051/496475252100000000
44,D3,176,29,2150219/312500,10002102471615263378577571061/992950504200000000000000000000000
47,D1,188,62,682171003/100000000,620051814260694527731591/62059406512500000000000000000
50,D2,200,,147019051/100000000,118479191381/55163916900000000
53,D3,212,35,371249611/100000000,166601550738088600103486663/30646620500000000000000000000000
56,D1,224,74,6108559/1000000,222166024518913311993611/24823762605000000000000000000
59,D2,236,,1778889/625000,12942670831/3102970325625000
62,D3,248,41,427462501/100000000,31072157483387918875696603213/4964752521000000000000000000000000
65,D1,260,86,426272843/100000000,155018011336842547479623/24823762605000000000000000000
68,D2,272,,151171673/100000000,1096969462367/496475252100000000
71,D3,284,47,499557231/50000000,72623318911770065959612153259/4964752521000000000000000000000000
74,D1,296,98,86027361/12500000,208403742086844319910629/20686468837500000000000000000
77,D2,308,,282520439/100000000,2051840723281/496475252100000000
80,D3,320,53,283245137/50000000,13733966420567758112181219617/1654917507000000000000000000000000
83,D1,332,110,427801907/100000000,194265986380039311344971/31029703256250000000000000000
86,D2,344,,1252427/400000,9107181533/1985901008400000
89,D3,356,59,241356707/50000000,219156582395182531772974277/31029703256250000000000000000000
92,D1,368,122,55990899/12500000,814521270981433115482451/124118813025000000000000000000
95,D2,380,,350823399/100000000,850329653707/165491750700000000
98,D3,392,65,311638799/50000000,45301681096779996888910371559/4964752521000000000000000000000000
101,D1,404,134,849977197/100000000,386314685232538900555643/31029703256250000000000000000
104,D2,416,,164276143/100000000,14776550537/6129324100000000
107,D3,428,71,1361126753/100000000,6598700343081392760517037953/330983501400000000000000000000000
110,D1,440,146,46912107/12500000,227143488653575356443641/41372937675000000000000000000
113,D2,452,,190694477/100000000,1384973473483/496475252100000000
116,D3,464,77,49689737/12500000,3613211722654011152143783283/620594065125000000000000000000000
119,D1,476,158,431742821/100000000,78416047956335706764923/12411881302500000000000000000
122,D2,488,,270194227/100000000,654647367911/165491750700000000
125,D3,500,83,189035527/25000000,54980479183430773028385406151/4964752521000000000000000000000000
128,D1,512,170,603214673/100000000,548281327898955497952559/62059406512500000000000000000
131,D2,524,,108206629/50000000,786683338291/248237626050000000
134,D3,536,89,70975481/10000000,8595382828741357807930107517/827458753500000000000000000000000
137,D1,548,182,1913467091/100000000,695610803214292540393181/24823762605000000000000000000
140,D2,560,,86557621/50000000,629728487459/248237626050000000
143,D3,572,95,585338211/100000000,14182681549477657471160432569/1654917507000000000000000000000000
146,D1,584,194,371070653/100000000,28097971171225335738031/5171617209375000000000000000
149,D2,596,,1350483/781250,9821182357/3878712907031250
152,D3,608,101,309156709/25000000,89905387415819661732480844121/4964752521000000000000000000000000
155,D1,620,206,1623802233/100000000,163964105467027765233331/6895489612500000000000000000
158,D2,632,,31528199/25000000,229332160321/124118813025000000
161,D3,644,107,1867381373/100000000,176752137320687154524364259/6464521511718750000000000000000
164,D1,656,218,647727599/100000000,117699253462489674755269/12411881302500000000000000000
167,D2,668,,73058217/10000000,530889484943/49647525210000000
170,D3,680,113,160006543/50000000,23233194666215583102637610383/4964752521000000000000000000000000
173,D1,692,230,437996701/100000000,4421149594206055698587/689548961250000000000000000
176,D2,704,,26147873/12500000,190004462167/62059406512500000
179,D3,716,119,3882017/625000,45176805851674622473978352593/4964752521000000000000000000000000
182,D1,728,242,452285437/20000000,2054971807190898528498767/62059406512500000000000000000
185,D2,740,,127570383/100000000,926595814457/496475252100000000
188,D3,752,125,214591081/20000000,38991673179561887643272434849/2482376260500000000000000000000000
191,D1,764,254,394278449/100000000,717117847531363371562903/124118813025000000000000000000
194,D2,776,,15456099/6250000,112224924421/31029703256250000
197,D3,788,131,393255399/100000000,14307362906792587343012773843/2482376260500000000000000000000000
200,D1,800,266,456196419/100000000,138373537437003456627841/20686468837500000000000000000
203,D2,812,,558372/390625,4061594188/1939356453515625
206,D3,824,137,506128043/25000000,2044304355610724061067694563/68954896125000000000000000000000
209,D1,836,278,301558697/50000000,365462938036110050531341/41372937675000000000000000000
212,D2,848,,29253717/25000000,70791876481/41372937675000000
215,D3,860,143,72073939/10000000,6545530373367752782467149119/620594065125000000000000000000000
218,D1,872,290,67370213/10000000,101966556111281092517863/10343234418750000000000000000
221,D2,884,,278238593/100000000,2023163757047/496475252100000000
224,D3,896,149,80341381/25000000,1168462306914236587621542419/248237626050000000000000000000000
227,D1,908,302,136167001/25000000,164970078829780472205251/20686468837500000000000000000
230,D2,920,,61360159/50000000,16559844043/9193986150000000
233,D3,932,155,1789937431/100000000,3614611546576996321612366531/137909792250000000000000000000000
236,D1,944,314,883175659/100000000,802774323363707230874941/62059406512500000000000000000
239,D2,956,,34655693/20000000,251851247947/99295050420000000
242,D3,968,161,628528321/25000000,1142419303878748436587507159/31029703256250000000000000000000
245,D1,980,326,247835623/50000000,45048698684037419661259/6205940651250000000000000000
248,D2,992,,245496983/50000000,1785152855857/248237626050000000
251,D3,1004,167,6017457/625000,2593150319682675992713509691/183879723000000000000000000000000
254,D1,1016,338,82688747/20000000,15639415057811447182381/2585808604687500000000000000
257,D2,1028,,289887573/100000000,701980559489/165491750700000000
260,D3,1040,173,2406943/390625,14937511530898499620277099699/1654917507000000000000000000000000
263,D1,1052,350,200883597/12500000,584149927503202535543249/24823762605000000000000000000
266,D2,1064,,5644267/3125000,13677517631/5171617209375000
269,D3,1076,179,78353473/10000000,351692903462342780923869759/30646620500000000000000000000000
272,D1,1088,362,469081901/100000000,853622806776015631197391/124118813025000000000000000000
275,D2,1100,,115069997/50000000,92878087507/27581958450000000
278,D3,1112,185,255015583/100000000,6187917695689935970487384273/1654917507000000000000000000000000
281,D1,1124,374,128865167/25000000,7810482173281725052667/1034323441875000000000000000
284,D2,1136,,8872729/5000000,64409100191/24823762605000000
287,D3,1148,191,571501741/100000000,6926224798473111879386845741/827458753500000000000000000000000
290,D1,1160,386,7636253/1250000,185043095371005248246557/20686468837500000000000000000
293,D2,1172,,13626621/10000000,33065846153/16549175070000000
296,D3,1184,197,60653463/10000000,44094025261891381048416273707/4964752521000000000000000000000000
299,D1,1196,398,130288603/20000000,1183644414870300770503883/124118813025000000000000000000
302,D2,1208,,202293063/50000000,1471089938177/248237626050000000
305,D3,1220,203,333824551/100000000,2630315541125400854639261/538710125976562500000000000000
308,D1,1232,410,876653821/100000000,318655313864175892898171/24823762605000000000000000000
311,D2,1244,,130342413/100000000,947665026827/496475252100000000
314,D3,1256,209,962117641/100000000,13987271252326778456743254959/992950504200000000000000000000000
317,D1,1268,422,723581367/100000000,328684515834279846516887/31029703256250000000000000000
320,D2,1280,,39499827/25000000,287522686133/124118813025000000
323,D3,1292,215,989563663/100000000,110966819331834713011397123/7661655125000000000000000000000
326,D1,1304,434,19926443/5000000,7552456182775996901773/1292904302343750000000000000
329,D2,1316,,342059859/100000000,276432982829/55163916900000000
332,D3,1328,221,112876501/25000000,683736650766996177189188411/103432344187500000000000000000000
335,D1,1340,446,22717919/6250000,82551334379320235886271/15514851628125000000000000000
338,D2,1352,,15961511/6250000,38707926923/10343234418750000
341,D3,1364,227,780572789/100000000,56729794169556026798745974149/4964752521000000000000000000000000
344,D1,1376,458,971562377/100000000,58850314660156165372567/4137293767500000000000000000
347,D2,1388,,29261601/25000000,212266753879/124118813025000000
350,D3,1400,233,2039413569/100000000,74141523260379825842931281683/2482376260500000000000000000000000
353,D1,1412,470,110872067/25000000,268743392021357490142777/41372937675000000000000000000
356,D2,1424,,133957747/50000000,324891423271/82745875350000000
359,D3,1436,239,301576267/100000000,547920254344962668309680853/124118813025000000000000000000000
362,D1,1448,482,468514607/100000000,42543808768718808488611/6205940651250000000000000000
365,D2,1460,,13008221/5000000,10497391651/2758195845000000
368,D3,1472,245,181770197/25000000,6606275896906910047126419749/620594065125000000000000000000000
371,D1,1484,494,710721487/100000000,53848095592410785400433/5171617209375000000000000000
374,D2,1496,,3986577/2500000,28909089383/12411881302500000
377,D3,1508,251,1137791639/100000000,2757121844356545605963748881/165491750700000000000000000000000
380,D1,1520,506,1088596191/100000000,1978552059672473634667331/124118813025000000000000000000
383,D2,1532,,39854521/20000000,289592002559/99295050420000000
386,D3,1544,257,447371701/100000000,3607287499337226870785449393/551639169000000000000000000000000
389,D1,1556,518,374620943/100000000,226959242432117924951237/41372937675000000000000000000
392,D2,1568,,118642999/100000000,860415749521/496475252100000000
395,D3,1580,263,458624469/25000000,44449787375872287188111120459/1654917507000000000000000000000000
398,D1,1592,530,655800491/100000000,99351654695760476152843/10343234418750000000000000000
401,D2,1604,,61044143/50000000,49283162833/27581958450000000
404,D3,1616,269,539285731/50000000,15677217260515104885891925571/992950504200000000000000000000000
407,D1,1628,542,401009203/50000000,291414839582445398434181/24823762605000000000000000000
410,D2,1640,,62352977/6250000,453347394983/31029703256250000
413,D3,1652,275,385526881/100000000,777618403524062746076295301/137909792250000000000000000000000
416,D1,1664,554,101948949/20000000,308723218652091097533121/41372937675000000000000000000
419,D2,1676,,211255907/100000000,1533545608453/496475252100000000
422,D3,1688,281,752147413/100000000,5468171468729579496145768981/496475252100000000000000000000000
425,D1,1700,566,1491699447/100000000,2711155441648942505475397/124118813025000000000000000000
428,D2,1712,,71029101/50000000,172448628793/82745875350000000
431,D3,1724,287,835896171/100000000,60776411784673658360312316313/4964752521000000000000000000000000
434,D1,1736,578,11549063/3125000,670544622888329434252813/124118813025000000000000000000
437,D2,1748,,224497067/100000000,181317182677/55163916900000000
440,D3,1760,293,175288191/50000000,2547025871452393158969322153/496475252100000000000000000000000
443,D1,1772,590,223941623/50000000,81447591539618371508609/12411881302500000000000000000
446,D2,1784,,70758551/50000000,171180147643/82745875350000000
449,D3,1796,299,990584379/100000000,14405354487836021554930595279/992950504200000000000000000000000
452,D1,1808,602,591720169/100000000,358444355790121594088123/41372937675000000000000000000
455,D2,1820,,256212351/100000000,621220471043/165491750700000000
458,D3,1832,305,51733477/10000000,464893972310707748875089403/61293241000000000000000000000000
461,D1,1844,614,742098967/100000000,11231843954807917594567/1034323441875000000000000000
464,D2,1856,,195342913/100000000,157802640703/55163916900000000
467,D3,1868,311,86908047/25000000,3154051759807304337095010367/620594065125000000000000000000000
470,D1,1880,626,5891219/1250000,856632544970683033007197/124118813025000000000000000000
473,D2,1892,,126783491/100000000,307545523063/165491750700000000
476,D3,1904,317,1064430073/100000000,77442464853892071668572159931/4964752521000000000000000000000000
479,D1,1916,638,137098169/10000000,2491196169498551272061761/124118813025000000000000000000
482,D2,1928,,5948547/5000000,43325463013/24823762605000000
485,D3,1940,323,657824439/50000000,95684498835613469500027560623/4964752521000000000000000000000000
488,D1,1952,650,104800737/12500000,190498986225844819723493/15514851628125000000000000000
491,D2,1964,,287156023/100000000,2086090416017/496475252100000000
494,D3,1976,329,66329523/12500000,38556424915156679827494352487/4964752521000000000000000000000000
497,D1,1988,662,79145179/20000000,718872021699983466367453/124118813025000000000000000000
500,D2,2000,,24881929/5000000,180909906991/24823762605000000
503,D3,2012,335,117406269/20000000,2666141984399646376493056067/310297032562500000000000000000000
506,D1,2024,674,323358959/25000000,1175364052632348285910753/62059406512500000000000000000
509,D2,2036,,126358537/100000000,918879378223/496475252100000000
512,D3,2048,341,1086720977/100000000,5265766230062358020573952631/330983501400000000000000000000000
515,D1,2060,686,86517619/20000000,52438527968650058961247/8274587535000000000000000000
518,D2,2072,,189467029/100000000,1376525869891/496475252100000000
521,D3,2084,347,222048631/100000000,4047994856979579340130607293/1241188130250000000000000000000000
524,D1,2096,698,671524901/100000000,60999069530814493077439/6205940651250000000000000000
527,D2,2108,,216618017/100000000,1573205229143/496475252100000000
530,D3,2120,353,136364281/20000000,4129335814294413054737691677/413729376750000000000000000000000
533,D1,2132,710,692042181/100000000,776034113049414861039/76616551250000000000000000
536,D2,2144,,58206009/50000000,422879901311/248237626050000000
539,D3,2156,359,234329171/50000000,34096841111757880236949845631/4964752521000000000000000000000000
542,D1,2168,722,237541917/25000000,95991762338990083042333/6895489612500000000000000000
545,D2,2180,,119721277/25000000,290332303561/41372937675000000
548,D3,2192,365,389828023/100000000,5668570438891612249216430377/992950504200000000000000000000000
551,D1,2204,734,42343059/10000000,256337425292053146083429/41372937675000000000000000000
554,D2,2216,,182742869/100000000,1326837477251/496475252100000000
557,D3,2228,371,111233479/12500000,2696947175586674274094654229/206864688375000000000000000000000
560,D1,2240,746,268586123/50000000,487731294456311553781067/62059406512500000000000000000
563,D2,2252,,38912467/25000000,31440380077/13790979225000000
566,D3,2264,377,1279764037/100000000,93021645733884339059759208439/4964752521000000000000000000000000
569,D1,2276,758,76122637/12500000,110687335628135214969377/12411881302500000000000000000
572,D2,2288,,150141993/50000000,1091345285647/248237626050000000
575,D3,2300,383,314316807/100000000,22840025167169438666718699749/4964752521000000000000000000000000
578,D1,2312,770,188521769/50000000,85662218176622003995157/15514851628125000000000000000
581,D2,2324,,407228397/100000000,2962171461163/496475252100000000
584,D3,2336,389,56675643/10000000,8235748067187820391062036007/992950504200000000000000000000000
587,D1,2348,782,19745441/2000000,44847887566202931541271/3102970325625000000000000000
590,D2,2360,,142363773/100000000,344499726089/165491750700000000
593,D3,2372,395,36063159/1562500,27966423341360879464064510791/827458753500000000000000000000000
596,D1,2384,794,67048237/12500000,32473804313401350251257/4137293767500000000000000000
599,D2,2396,,228767/125000,554676131/206864688375000
602,D3,2408,401,37793021/12500000,3664021840504240422585198833/827458753500000000000000000000000
605,D1,2420,806,54847329/10000000,498702872205778238953309/62059406512500000000000000000
608,D2,2432,,82116709/50000000,596376026611/248237626050000000
611,D3,2444,407,1195885421/100000000,86944559290887623988689634653/4964752521000000000000000000000000
614,D1,2456,818,102112389/12500000,742459405668976855607177/62059406512500000000000000000
617,D2,2468,,163340857/100000000,1185226949503/496475252100000000
620,D3,2480,413,512719731/100000000,3106926152185270993002002371/413729376750000000000000000000000
623,D1,2492,830,39702937/5000000,1443186617543152394893579/124118813025000000000000000000
626,D2,2504,,215692669/100000000,58171149313/18387972300000000
629,D3,2516,419,446760003/100000000,32510535252932764538080228151/4964752521000000000000000000000000
632,D1,2528,842,391324837/100000000,711598781988836091759373/124118813025000000000000000000
635,D2,2540,,127220979/100000000,102465073549/55163916900000000
638,D3,2552,425,1849368357/100000000,33618347667863316325515964373/1241188130250000000000000000000000
641,D1,2564,854,202023051/20000000,229415688260057963349689/15514851628125000000000000000
644,D2,2576,,85475769/50000000,620372836351/248237626050000000
647,D3,2588,431,578807449/50000000,28061042528047438051929229163/1654917507000000000000000000000000
650,D1,2600,866,234624917/25000000,106611967776670116526757/7757425814062500000000000000
653,D2,2612,,400986689/100000000,324099978559/55163916900000000
656,D3,2624,437,89298103/25000000,812309447690399960523897119/155148516281250000000000000000000
659,D1,2636,878,577630431/100000000,209897763134075022931181/24823762605000000000000000000
662,D2,2648,,57210213/25000000,415181303027/124118813025000000
665,D3,2660,443,73818587/12500000,21469870861036324176652422047/2482376260500000000000000000000000
668,D1,2672,890,35421533/1562500,205982151335724996346933/6205940651250000000000000000
671,D2,2684,,7173821/6250000,17435015753/10343234418750000
674,D3,2696,449,668964481/50000000,48647705400766583573240205401/2482376260500000000000000000000000
677,D1,2708,902,208566693/50000000,151761287316014297709283/24823762605000000000000000000
680,D2,2720,,13743457/6250000,11101332767/3447744806250000
683,D3,2732,455,226034821/50000000,32891026713997691701676340701/4964752521000000000000000000000000
686,D1,2744,914,59897821/12500000,96793063655455113184693/13790979225000000000000000000
689,D2,2756,,41540367/20000000,301893484793/99295050420000000
692,D3,2768,461,214686819/20000000,26032989883279512188979674923/1654917507000000000000000000000000
695,D1,2780,926,61812691/6250000,179784036510474923019619/12411881302500000000000000000
698,D2,2792,,17604851/10000000,42751973543/16549175070000000
701,D3,2804,467,67239981/12500000,362456788761602852773705673/45969930750000000000000000000000
704,D1,2816,938,324544771/50000000,1180257377184235152788419/124118813025000000000000000000
707,D2,2828,,240301971/100000000,1745276481109/496475252100000000
710,D3,2840,473,13759743/5000000,5002340637344133525087143249/1241188130250000000000000000000000
713,D1,2852,950,444100481/100000000,807174988190210185179007/124118813025000000000000000000
716,D2,2864,,64549193/50000000,156841578149/82745875350000000
719,D3,2876,479,982913691/50000000,14293742817517151744282019317/496475252100000000000000000000000
722,D1,2888,962,525375269/50000000,954729402543559699790209/62059406512500000000000000000
725,D2,2900,,146926203/100000000,1067254792237/496475252100000000
728,D3,2912,485,1660811449/100000000,3774284745850724880336949349/155148516281250000000000000000000
731,D1,2924,974,711001879/100000000,645950873605021798315099/62059406512500000000000000000
734,D2,2936,,336274729/100000000,2444248658191/496475252100000000
737,D3,2948,491,225141859/50000000,16375668042179413436122316929/2482376260500000000000000000000000
740,D1,2960,986,98961923/25000000,719212677340475483188591/124118813025000000000000000000
743,D2,2972,,38748077/20000000,93810115961/33098350140000000
746,D3,2984,497,37453553/6250000,43560239690225064848320532237/4964752521000000000000000000000000
749,D1,2996,998,216344693/25000000,1573181183260778887245757/124118813025000000000000000000
752,D2,3008,,19221823/12500000,139602534217/62059406512500000
755,D3,3020,503,880407697/100000000,4266887456347728921687237539/330983501400000000000000000000000
758,D1,3032,1010,650434369/100000000,394097549587982326223393/41372937675000000000000000000
761,D2,3044,,183953671/100000000,1335355545409/496475252100000000
764,D3,3056,509,58548109/25000000,16996959570787517315489196547/4964752521000000000000000000000000
767,D1,3068,1022,636037271/100000000,1156262132978381830433029/124118813025000000000000000000
770,D2,3080,,46646863/25000000,339724008377/124118813025000000
773,D3,3092,515,629315839/100000000,45735849390552921878970701701/4964752521000000000000000000000000
776,D1,3104,1034,767358187/100000000,87180445073379913620253/7757425814062500000000000000
779,D2,3116,,64190069/50000000,155836362017/82745875350000000
782,D3,3128,521,8533367/2500000,2484774154827298345080166013/496475252100000000000000000000000
785,D1,3140,1046,582946981/100000000,42391029732581645360647/4964752521000000000000000000
788,D2,3152,,295335497/100000000,2145128462063/496475252100000000
791,D3,3164,527,434217659/100000000,31572373313705201765301928381/4964752521000000000000000000000000
794,D1,3176,1058,44145867/10000000,802598863012605826033613/124118813025000000000000000000
797,D2,3188,,33822241/25000000,245329380439/124118813025000000
800,D3,3200,533,252511827/25000000,9176862085374045383961538741/620594065125000000000000000000000
803,D1,3212,1070,159275099/25000000,1157373233664267369018553/124118813025000000000000000000
806,D2,3224,,34671287/20000000,252620435473/99295050420000000
809,D3,3236,539,618372893/100000000,22486603431357211622501861539/2482376260500000000000000000000000
812,D1,3248,1082,443549257/100000000,805645026224272503381221/124118813025000000000000000000
815,D2,3260,,80342349/25000000,583859188171/124118813025000000
818,D3,3272,545,692058669/100000000,16762805620794560585891978237/1654917507000000000000000000000000
821,D1,3284,1094,434965663/100000000,29249734089866748832759/4596993075000000000000000000
824,D2,3296,,51056199/20000000,123714024107/33098350140000000
827,D3,3308,551,156691257/25000000,4555456854602901142655570087/496475252100000000000000000000000
830,D1,3320,1106,454225721/50000000,550707074681611988881447/41372937675000000000000000000
833,D2,3332,,59334759/25000000,143757274187/41372937675000000
836,D3,3344,557,1283656557/100000000,11660179666381354083650507147/620594065125000000000000000000000
839,D1,3356,1118,21922993/6250000,70755077194397310352759/13790979225000000000000000000
842,D2,3368,,252018221/100000000,1831552314859/496475252100000000
845,D3,3380,563,268740603/100000000,3905870970560827634364769471/992950504200000000000000000000000
848,D1,3392,1130,181547097/50000000,73273750642087852473181/13790979225000000000000000000
851,D2,3404,,215984601/100000000,1568488070879/496475252100000000
854,D3,3416,569,863545033/100000000,2093653074170054867155880957/165491750700000000000000000000000
857,D1,3428,1142,103261943/20000000,234606638893098464265893/31029703256250000000000000000
860,D2,3440,,39016381/20000000,10509257537/3677594460000000
863,D3,3452,575,23981211/5000000,34870542913645837706443741613/4964752521000000000000000000000000
866,D1,3464,1154,1326440497/100000000,1205821158428369226311453/62059406512500000000000000000
869,D2,3476,,48996559/25000000,355784424761/124118813025000000
872,D3,3488,581,134706993/20000000,16319023238262693420103761907/1654917507000000000000000000000000
875,D1,3500,1166,161732227/50000000,98040510621677144591659/20686468837500000000000000000
878,D2,3512,,36711437/20000000,267164717323/99295050420000000
881,D3,3524,587,1262460663/100000000,611901147995728839515901167/33098350140000000000000000000000
884,D1,3536,1178,431683681/50000000,1569491330434687809795997/124118813025000000000000000000
887,D2,3548,,25790097/20000000,187382415463/99295050420000000
890,D3,3560,593,812782759/25000000,1231026372969501601767793129/25858086046875000000000000000000
893,D1,3572,1190,531168471/100000000,24120322245103552509961/3102970325625000000000000000
896,D2,3584,,369948331/100000000,895942669183/165491750700000000
899,D3,3596,599,12299941/4000000,3718650058833712681046424007/827458753500000000000000000000000
902,D1,3608,1202,81316291/20000000,61553837408333957515301/10343234418750000000000000000
905,D2,3620,,189839593/100000000,153474181783/55163916900000000
908,D3,3632,605,155749947/20000000,7072528182935509454497316731/620594065125000000000000000000000
911,D1,3644,1214,67627607/4000000,1536432319527461964043807/62059406512500000000000000000
914,D2,3656,,151450749/100000000,366431637257/165491750700000000
917,D3,3668,611,760907751/50000000,55321497752643689331827788747/2482376260500000000000000000000000
920,D1,3680,1226,23799879/6250000,691264229735397559873033/124118813025000000000000000000
923,D2,3692,,104335359/50000000,756975309961/248237626050000000
926,D3,3704,617,32900163/10000000,532222931517164510571399653/110327833800000000000000000000000
929,D1,3716,1238,197912487/50000000,240024789845891119303781/41372937675000000000000000000
932,D2,3728,,9600129/6250000,69945324791/31029703256250000
935,D3,3740,623,612424263/50000000,4451876979943592943605753941/248237626050000000000000000000000
938,D1,3752,1250,171693633/25000000,416180921005539867420799/41372937675000000000000000000
941,D2,3764,,114931359/100000000,832862793961/496475252100000000
944,D3,3776,629,662848313/100000000,6025345435816466924179078129/620594065125000000000000000000000
947,D1,3788,1262,657524967/100000000,7372704107077812913447/766165512500000000000000000
950,D2,3800,,273027039/100000000,1985423584681/496475252100000000
953,D3,3812,635,153712189/50000000,2489590039195599939061927183/551639169000000000000000000000000
956,D1,3824,1274,268839361/50000000,39075769616008137454549/4964752521000000000000000000
959,D2,3836,,121323171/100000000,880922035909/496475252100000000
962,D3,3848,641,135862271/10000000,12349751085049990045021498783/620594065125000000000000000000000
965,D1,3860,1286,786650839/100000000,178643735476869662531981/15514851628125000000000000000
968,D2,3872,,4795549/4000000,34876670971/19859010084000000
971,D3,3884,647,332917347/20000000,60498186227377357232661334357/2482376260500000000000000000000000
974,D1,3896,1298,331992123/50000000,1206950466492321225550501/124118813025000000000000000000
977,D2,3908,,370473233/100000000,2692100229607/496475252100000000
980,D3,3920,653,280202863/50000000,4071933789260568432902767883/496475252100000000000000000000000
983,D1,3932,1310,217187577/50000000,789697647831267598986191/124118813025000000000000000000
986,D2,3944,,51821227/20000000,376610436733/99295050420000000
989,D3,3956,659,737969897/100000000,2145923533298623973352869813/198590100840000000000000000000000
992,D1,3968,1322,761770969/50000000,346052257077366101903647/15514851628125000000000000000
995,D2,3980,,7304221/5000000,53096308859/24823762605000000
998,D3,3992,665,850541789/100000000,7729560960479188656024140881/620594065125000000000000000000000
1001,D1,4004,1334,465934901/100000000,28230221736631581852067/4137293767500000000000000000
1004,D2,4016,,238525911/100000000,577212976123/165491750700000000
1007,D3,4028,671,26870701/12500000,868160871753215432135816429/275819584500000000000000000000000
1010,D1,4040,1346,82076479/10000000,745458819712785565423397/62059406512500000000000000000
1013,D2,4052,,111905993/50000000,90215360183/27581958450000000
1016,D3,4064,677,65641071/10000000,23851884714853526916031113649/2482376260500000000000000000000000
1019,D1,4076,1358,147130951/25000000,1069385737195597025549377/124118813025000000000000000000
1022,D2,4088,,176637733/100000000,1284984525107/496475252100000000
1025,D3,4100,683,607162249/100000000,327081202499988188500737359/36775944600000000000000000000000
1028,D1,4112,1370,899513853/100000000,272485072424997231065027/20686468837500000000000000000
1031,D2,4124,,370016879/100000000,99584155483/18387972300000000
1034,D3,4136,689,185514499/50000000,673276092234060958444707019/124118813025000000000000000000000
1037,D1,4148,1382,491456557/100000000,16546391840464642111349/2298496537500000000000000000
1040,D2,4160,,137408199/100000000,332269560107/165491750700000000
1043,D3,4172,695,682274223/50000000,99171609670377034613074308059/4964752521000000000000000000000000
1046,D1,4184,1394,22633319/4000000,2743154071423705011289/330983501400000000000000000
1049,D2,4196,,17742749/10000000,129212779771/49647525210000000
1052,D3,4208,701,373615757/50000000,2715345312013655935733621509/248237626050000000000000000000000
1055,D1,4220,1406,246395187/50000000,14942975075557842379963/2068646883750000000000000000
1058,D2,4232,,337911937/100000000,819634418941/165491750700000000
1061,D3,4244,707,39710983/10000000,9640511717894887779571189901/1654917507000000000000000000000000
1064,D1,4256,1418,560448597/100000000,203523466454517599914541/24823762605000000000000000000
1067,D2,4268,,18299967/5000000,133102533193/24823762605000000
1070,D3,4280,713,670036897/100000000,48700532903480127414667615133/4964752521000000000000000000000000
1073,D1,4292,1430,277473121/25000000,1008615695064972019067329/62059406512500000000000000000
1076,D2,4304,,177352659/100000000,1289523696661/496475252100000000
1079,D3,4316,719,2774598841/100000000,100854555655989793138202507663/2482376260500000000000000000000000
1082,D1,4328,1442,104152569/25000000,756656315252809603149019/124118813025000000000000000000
1085,D2,4340,,157275701/50000000,1144568207779/248237626050000000
1088,D3,4352,725,153107183/50000000,22281257031078364586241732079/4964752521000000000000000000000000
1091,D1,4364,1454,504534459/100000000,916107483162798269513381/124118813025000000000000000000
1094,D2,4376,,110922863/50000000,29877193051/9193986150000000
1097,D3,4388,731,1035777927/100000000,75323721758991119545973185243/4964752521000000000000000000000000
1100,D1,4400,1466,714118617/100000000,1298573956767278463415267/124118813025000000000000000000
1103,D2,4412,,47020807/25000000,12633603539/4596993075000000
1106,D3,4424,737,670404757/100000000,24352529806886268798569778487/2482376260500000000000000000000000
1109,D1,4436,1478,38191499/5000000,462649868578707763704869/41372937675000000000000000000
1112,D2,4448,,48007947/20000000,348903715613/99295050420000000
1115,D3,4460,743,67243903/20000000,8132462981148927653649378379/1654917507000000000000000000000000
1118,D1,4472,1490,310297487/100000000,46974515408613768323989/10343234418750000000000000000
1121,D2,4484,,123557303/100000000,299347596379/165491750700000000
1124,D3,4496,749,1208275197/100000000,29292085184183674405462741951/1654917507000000000000000000000000
1127,D1,4508,1502,11709751/1562500,75652774693762329974651/6895489612500000000000000000
1130,D2,4520,,107682343/100000000,782523563297/496475252100000000
1133,D3,4532,755,316634997/25000000,92087169558828566779742080621/4964752521000000000000000000000000
1136,D1,4544,1514,550637101/100000000,1001120043112482638506477/124118813025000000000000000000
1139,D2,4556,,128524753/25000000,934932347687/124118813025000000
1142,D3,4568,761,65585409/20000000,5957656595208595145028070717/1241188130250000000000000000000000
1145,D1,4580,1526,300945599/50000000,273651920173657825205677/31029703256250000000000000000
1148,D2,4592,,105275541/50000000,255340203713/82745875350000000
1151,D3,4604,767,23114501/3125000,26863698673562045784601459709/2482376260500000000000000000000000
1154,D1,4616,1538,1872927319/100000000,340425590816476848914579/12411881302500000000000000000
