source_id,source,channel,child_mod3,target_id,target,weight_decimal,weight_formula,memberwise_precedent
87,d5:r29:podd:b0,advanced_parity_lift_c1,1,115,d5:r38:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
88,d5:r29:peven:b1,retarded,,350,d5:r116:peven:b2,0.308641975308642,rho_star^(-2),retarded core
88,d5:r29:peven:b1,advanced_parity_lift_c1,1,115,d5:r38:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
89,d5:r29:peven:b2,retarded,,350,d5:r116:peven:b2,0.308641975308642,rho_star^(-2),retarded core
89,d5:r29:peven:b2,advanced_parity_lift_c1,1,115,d5:r38:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
90,d5:r30:podd:b0,retarded,,362,d5:r120:peven:b2,0.308641975308642,rho_star^(-2),retarded core
91,d5:r30:peven:b1,retarded,,362,d5:r120:peven:b2,0.308641975308642,rho_star^(-2),retarded core
92,d5:r30:peven:b2,retarded,,362,d5:r120:peven:b2,0.308641975308642,rho_star^(-2),retarded core
93,d5:r31:podd:b0,retarded,,374,d5:r124:peven:b2,0.308641975308642,rho_star^(-2),retarded core
94,d5:r31:peven:b1,retarded,,374,d5:r124:peven:b2,0.308641975308642,rho_star^(-2),retarded core
95,d5:r31:peven:b2,retarded,,374,d5:r124:peven:b2,0.308641975308642,rho_star^(-2),retarded core
96,d5:r32:podd:b0,retarded,,386,d5:r128:peven:b2,0.308641975308642,rho_star^(-2),retarded core
97,d5:r32:peven:b1,retarded,,386,d5:r128:peven:b2,0.308641975308642,rho_star^(-2),retarded core
98,d5:r32:peven:b2,retarded,,386,d5:r128:peven:b2,0.308641975308642,rho_star^(-2),retarded core
99,d5:r33:podd:b0,retarded,,398,d5:r132:peven:b2,0.308641975308642,rho_star^(-2),retarded core
100,d5:r33:peven:b1,retarded,,398,d5:r132:peven:b2,0.308641975308642,rho_star^(-2),retarded core
101,d5:r33:peven:b2,retarded,,398,d5:r132:peven:b2,0.308641975308642,rho_star^(-2),retarded core
102,d5:r34:podd:b0,retarded,,410,d5:r136:peven:b2,0.308641975308642,rho_star^(-2),retarded core
103,d5:r34:peven:b1,retarded,,410,d5:r136:peven:b2,0.308641975308642,rho_star^(-2),retarded core
104,d5:r34:peven:b2,retarded,,410,d5:r136:peven:b2,0.308641975308642,rho_star^(-2),retarded core
105,d5:r35:podd:b0,retarded,,422,d5:r140:peven:b2,0.308641975308642,rho_star^(-2),retarded core
105,d5:r35:podd:b0,advanced_direct_c2,2,69,d5:r23:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
106,d5:r35:peven:b1,retarded,,422,d5:r140:peven:b2,0.308641975308642,rho_star^(-2),retarded core
106,d5:r35:peven:b1,advanced_direct_c2,2,69,d5:r23:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
107,d5:r35:peven:b2,retarded,,422,d5:r140:peven:b2,0.308641975308642,rho_star^(-2),retarded core
107,d5:r35:peven:b2,advanced_direct_c2,2,69,d5:r23:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
108,d5:r36:podd:b0,retarded,,434,d5:r144:peven:b2,0.308641975308642,rho_star^(-2),retarded core
109,d5:r36:peven:b1,retarded,,434,d5:r144:peven:b2,0.308641975308642,rho_star^(-2),retarded core
110,d5:r36:peven:b2,retarded,,434,d5:r144:peven:b2,0.308641975308642,rho_star^(-2),retarded core
111,d5:r37:podd:b0,retarded,,446,d5:r148:peven:b2,0.308641975308642,rho_star^(-2),retarded core
112,d5:r37:peven:b1,retarded,,446,d5:r148:peven:b2,0.308641975308642,rho_star^(-2),retarded core
