a,c,x,qAdv,xAdv,target_count,retarded_count,advanced_full_count,advanced_window_count,e5_numerator,e5_gap,deterministic_atom_gap,advanced_window_gap,closure_percent,partition_ok,pairwise_disjoint_ok,advanced_subset_ok,gap_identity_ok,route_hooks_ok,window_hooks_ok,all_hooks_ok,target_sha256,retarded_sha256,advanced_full_sha256,advanced_window_sha256,advanced_boundary_examples
8,5,32768,2048,30720,19434,1244,18188,17059,18304,1130,1,1129,94.185448184,yes,yes,yes,yes,yes,yes,yes,b27c4306459878ea4674614966354cd3039cb6ecf9f3604fe066b10b7a22121e,c64ca4aefe567e27dcaa13bdde5605f4c37f6f74390437792b12824b5f02fe67,e3ca48726f33cdc03d965c18bb3e5421ad24c4181145cf38a8f063c2ed30fad1,c732aab4dcebea17fa90880d7653b59e969f9d71abdc10c94d63ddcf8fb910c4,2139 2407 2535 3209 3611 3687 3803 4063 4191 4278 4279 4507
17,11,69632,2048,67584,17894,759,17133,16704,17464,430,1,429,97.596959875,yes,yes,yes,yes,yes,yes,yes,f2ec46f0babf459126cbd8ee2c1186578102624189275af7d1b3eee8f9579764,c7844ad1f6a631de03b0a3c132224fb8f3ef49e7d0210eb42300f7387a1b0ac5,a4a375cde86e91b86cf96a720cc508c15153c0ddba628d96bb71e397c357749b,dd6573b6759d703236b9957ced53fe4e790d616f205f788039c4edf643b3b99d,3967 5289 5951 7934 8927 9403 10578 10579 11902 12187 12537 13391
26,17,106496,2048,104448,28425,920,27503,26896,27817,608,1,607,97.861037819,yes,yes,yes,yes,yes,yes,yes,098efc28fbc1a0392aea32e0dec4bf142429c28cf6797d66ad6a3473bdc814eb,f4e0a103bc1b9e0da137bc1461d7688fa51db9d5ed6ba344839d2a65044fd69f,ea6afe00e1f18f2b43dbb2f2fb879f8657e41f68acd0d4e9f0cdeb91b1f14880,ab35f669b89f63417157620744a196a8e6f63cafd7f8e36689ecfccc3582f371,9279 12315 12391 13791 13855 13919 16521 18473 18558 18587 18663 20687
35,23,143360,2048,141312,39326,1353,37971,37471,38825,501,1,500,98.726033667,yes,yes,yes,yes,yes,yes,yes,e40907fb6e23b6dd461a0fdbfe76a818299d82b2c7780cc37f14bdf41f049aca,f13057a851ba516d400861832a6d17e05a39703d91cacdca3790ce3646c11bfc,b814115576ad32019c956d50f33c5c94838377219a61a0310293a3e1dd22f990,28e10429d641bb7a586552532b763486bb92b96822866e7b38924bbe5ca8cf50,19707 22171 24943 27919 28303 29561 33257 33447 33531 35035 37225 37287
44,29,180224,2048,178176,26520,1425,25093,24477,25903,617,1,616,97.673453997,yes,yes,yes,yes,yes,yes,yes,914721cb0e5c67f3cc4b69124849e77ef378f014db1cbe59dc039a03c102f37d,e2d008c65f22d9ad9911799dbdff766040347bc71677d529fea3f7187913da60,2ff37dde8d6129d3815e973dba56589035973f5ab3638d10da893e685597b51b,4234ae5c7b7b0f3cce5e1c8afe6476c8d2706d4b7d9fcefdc4d6c4aef2110bcb,5535 8303 11070 11071 12455 14761 16606 16607 18683 19681 21019 22140
53,35,217088,2048,215040,59376,934,58440,58053,58988,388,1,387,99.346537321,yes,yes,yes,yes,yes,yes,yes,77d76f8c1a7914ae8ca522ef2978918e25934ef82398cc3dafe36748e642a646,a500c4f2be251da9525c7a32f1c4eda5d8be4a30d5667d950e151055203a3caa,522a3d36448c836ade22c1eda39e8309e74515b972d76cd89d9c73242306e154,b85715936c4e04a87d48fb0be99ae25cd4e8cab5ec8addfea25e27ed25a89c1d,5631 8447 11262 12671 16894 19007 22524 22525 25191 25342 28511 30033
62,41,253952,2048,251904,14436,5386,9048,9040,14427,9,1,8,99.937655860,yes,yes,yes,yes,yes,yes,yes,590a7284584ef5135641092a05a0bdcda10b0c7eb4a16be4aa4f52150df3a740,638a9e6b32a86c6f16b007fc818de8e32413d858d59f0509479982cc3e87aa7f,241250f63d990f12abfcf6865852e10854f2cc9330508979c73e24239057032e,e002bdaa80cd4a90007b2925d15341cae0bfbab3d4227f1a978fe1dffa77d91e,168897 252444 252466 252472 252474 253346 253348 253356
71,47,290816,2048,288768,33105,1368,31735,31566,32935,170,1,169,99.486482404,yes,yes,yes,yes,yes,yes,yes,69fe97f340fa838c59cf3ae33d1a7b73e2c3da40c4d99bf3beb60c8ecd8359e9,2f8fb1451d68ade03b96f394e4589ab6aee91478f1d75c135782f80a318fe64f,edec3ae7d4101a38373fc6ccf83296be0e3ec901ad745c06e4e504a7ecb05300,761313bb21c5454c058df00783c81f65a58018a7d1559c66975c42fee956f236,50799 76199 85575 85591 85975 101598 114121 114299 114633 128363 128387 128395
80,53,327680,2048,325632,89664,1198,88464,88097,89296,368,1,367,99.589578872,yes,yes,yes,yes,yes,yes,yes,4fad415efba920aae088241e5cede8f64aa8509691f8c5b543f9377819e3ead0,2ef971d137abd3b558dbeb0d269b329151331a0eda49729bfe8d19cf8161f835,1393e2e9591ee9a9d1796b941209e6f7fa6540f056a5f68261310421b342c9d2,db9b8a5a75b78e8274ac4d870bde6bdd84fa99a91f27f8cb4b7965353ed4ffcd,64591 64719 76615 86121 86235 96663 96759 96887 96903 96919 96967 97015
89,59,364544,2048,362496,20460,4274,16184,16165,20440,20,1,19,99.902248289,yes,yes,yes,yes,yes,yes,yes,57162f113dcf75fdda00fcc58ac8dffb43d76ef914bc1a783e21402bab087ef0,1d8ad8e0aef890e5c0d63db3151675bbaf7816f140f38002aa04e41bf0b08519,94d3de3d742ed211b22065ed8c189ac49bfa6a92efef551c19907b360fdd8175,8f57943a3afd479eed733ba6f974fb7b71937ca7662595867c0c54ed17728148,161667 242293 242337 242501 242509 323334 363440 363442 363444 363448 363450 363506
98,65,401408,2048,399360,33643,703,32938,32923,33627,16,1,15,99.952441816,yes,yes,yes,yes,yes,yes,yes,d61c46e3407c67541d80be70796271dbe54595a54a1fec633cd5cab247362f22,f9909cfc9062d0e02687d1cdbe59cafd952abbd80ac9b4c177b9922e4263f51c,db3ccbe9bffd66fd7298e7a9614a264a2ec4a56a53673b5aa51ce3f2a82c5bf2,2e40ab18ddb46f46c30bf1d7735b75021742c24fcb63dd9f72b05d510114c1b6,118455 177683 236910 266525 267381 267493 355366 399788 401072 401076 401080 401082
107,71,438272,2048,436224,50889,1251,49636,49224,50476,413,1,412,99.188429720,yes,yes,yes,yes,yes,yes,yes,34899a19c7974ce9ac613f62506ff8839e62d53663ec01c67172b190972265af,f60a0d2828e4044d435757207d1622bf7aea278164d90fcb9b96f765dfb011df,63f5f783c3db93a7755d4fb1517cf27fc05664b3103b8252d06128ffdfcedbba,fa754a1c1469357f963ac404dde460aff2b6a705f280e49b9a8b2022e7ee7ce6,38463 51183 57695 60571 68143 71787 76775 76926 80761 86319 86479 86543
116,77,475136,2048,473088,14300,1643,12655,12655,14299,1,1,0,99.993006993,yes,yes,yes,yes,yes,yes,yes,944a09c265047473ecb24391b5b3e4aa707c47b035eb6903b141f764e2123dfd,4deeeb788577a9c038db5187265b9687ee8255987760bb14d45b1a264952ab10,e8962c93e288f976fd1b742fe914473697bb1f0d9591d51603bd455e22e6e78b,e8962c93e288f976fd1b742fe914473697bb1f0d9591d51603bd455e22e6e78b,
125,83,512000,2048,509952,26762,7265,19495,19495,26761,1,1,0,99.996263358,yes,yes,yes,yes,yes,yes,yes,35f5a2cec70c43e0b3e1431eca491830280b9d124e98c471fba1d3bc9bde75c6,81d7ff31d895f1e2a4b7d56f20a951da252132895b75666ba4a9e4ab32632774,8a3e65e15800959acddc3c26ff460b2b230814e893c7b7e123cfd356c7b2fb47,8a3e65e15800959acddc3c26ff460b2b230814e893c7b7e123cfd356c7b2fb47,
134,89,548864,2048,546816,32230,730,31498,31458,32189,41,1,40,99.872789327,yes,yes,yes,yes,yes,yes,yes,30cdea53f00dccb18b488e90d9a9805f32e37046ab42880105fa1feeccaac7ff,e3ee3c8a76e4c9064787cf2141b108bc3ce63775efa94c95994c6d0d16ee4be5,0872e2b0be7be6cf89d40e51c1a959240e461db4be70a47c16bfaffd79533c41,ef6ac374853774585fbfe69c490a55616ad8c4d1856438407b68ec1eb2655d11,144423 216635 243651 243715 243723 288846 324953 365457 365461 365477 365573 365581
143,95,585728,2048,583680,24828,6819,18007,17995,24815,13,1,12,99.947639762,yes,yes,yes,yes,yes,yes,yes,e415ab597be5b46df9125ef37ab3340334f19db60e8f39f74a168a2f7e98dc48,5f47aa82dbcf5d23409a96aa3459d1a871c4ea171018bc5ba397359fea532630,1ecf011e3fee34be17696cb5c934276a6ae276c381b9e1472328a1022cf95687,cdd17bfffa5a9a96d32cf83757b407f8216ebccb620bfffcec1ec0a0a2c314b5,389169 389253 583752 583754 583756 583876 583880 583882 583884 583938 584098 584100
