phase,K,a,y,x,c,x_phase_a,source_type,retarded_type,advanced_route,advanced_type_or_tail,target_count,retarded_visible_count,advanced_full_count,advanced_phase_a_count,advanced_visible_phase_a_count,advanced_tail_phase_a_count,atom_tail_count,phase_loss_tail_count,visible_total,q_total,capture_fraction,tail_fraction,partition_pass,disjoint_pass,phase_subset_pass,route_pass,denominator_pass,all_hooks_pass
calibration,5,29,10,29696,19,29184,d5:r29:podd:b0,d5:r116:peven:b2,Q_K:T0,Q_K:T0,3679,1043,2634,2578,0,2578,2,56,1043,2636,0.283500951345,0.716499048655,yes,yes,yes,yes,yes,yes
calibration,5,32,8,8192,21,8064,d5:r32:peven:b2,d5:r128:peven:b2,Q_K:T0,Q_K:T0,353,342,9,9,0,9,2,0,342,11,0.968838526912,0.031161473088,yes,yes,yes,yes,yes,yes
calibration,5,32,9,16384,21,16128,d5:r32:peven:b2,d5:r128:peven:b2,Q_K:T0,Q_K:T0,659,647,10,10,0,10,2,0,647,12,0.981790591806,0.018209408194,yes,yes,yes,yes,yes,yes
calibration,5,32,10,32768,21,32256,d5:r32:peven:b2,d5:r128:peven:b2,Q_K:T0,Q_K:T0,1244,1231,11,11,0,11,2,0,1231,13,0.989549839228,0.010450160772,yes,yes,yes,yes,yes,yes
calibration,5,35,8,8960,23,8832,d5:r35:podd:b0,d5:r140:peven:b2,visible,d4:r23:podd:b0,2572,88,2482,2450,2450,0,2,32,2538,34,0.986780715397,0.013219284603,yes,yes,yes,yes,yes,yes
calibration,5,35,9,17920,23,17664,d5:r35:podd:b0,d5:r140:peven:b2,visible,d4:r23:podd:b0,5231,177,5052,4985,4985,0,2,67,5162,69,0.986809405467,0.013190594533,yes,yes,yes,yes,yes,yes
calibration,5,35,10,35840,23,35328,d5:r35:podd:b0,d5:r140:peven:b2,visible,d4:r23:podd:b0,10209,311,9896,9768,9768,0,2,128,10079,130,0.987266137722,0.012733862278,yes,yes,yes,yes,yes,yes
calibration,5,38,8,9728,25,9600,d5:r38:peven:b1,d5:r152:peven:b2,Q_K:T0,Q_K:T0,952,766,184,184,0,184,2,0,766,186,0.804621848739,0.195378151261,yes,yes,yes,yes,yes,yes
calibration,5,38,9,19456,25,19200,d5:r38:peven:b1,d5:r152:peven:b2,Q_K:T0,Q_K:T0,1820,1463,355,355,0,355,2,0,1463,357,0.803846153846,0.196153846154,yes,yes,yes,yes,yes,yes
calibration,5,38,10,38912,25,38400,d5:r38:peven:b1,d5:r152:peven:b2,Q_K:T0,Q_K:T0,3468,2802,664,664,0,664,2,0,2802,666,0.807958477509,0.192041522491,yes,yes,yes,yes,yes,yes
calibration,5,41,8,10496,27,10368,d5:r41:podd:b0,d5:r164:peven:b2,Q_K:T0,Q_K:T0,329,318,9,9,0,9,2,0,318,11,0.966565349544,0.033434650456,yes,yes,yes,yes,yes,yes
calibration,5,41,9,20992,27,20736,d5:r41:podd:b0,d5:r164:peven:b2,Q_K:T0,Q_K:T0,750,738,10,10,0,10,2,0,738,12,0.984000000000,0.016000000000,yes,yes,yes,yes,yes,yes
calibration,5,41,10,41984,27,41472,d5:r41:podd:b0,d5:r164:peven:b2,Q_K:T0,Q_K:T0,1437,1424,11,11,0,11,2,0,1424,13,0.990953375087,0.009046624913,yes,yes,yes,yes,yes,yes
calibration,5,44,8,11264,29,11136,d5:r44:peven:b2,d5:r176:peven:b2,visible,d4:r29:podd:b0,1606,88,1516,1505,1505,0,2,11,1593,13,0.991905354919,0.008094645081,yes,yes,yes,yes,yes,yes
calibration,5,44,9,22528,29,22272,d5:r44:peven:b2,d5:r176:peven:b2,visible,d4:r29:podd:b0,2967,178,2787,2763,2763,0,2,24,2941,26,0.991236939670,0.008763060330,yes,yes,yes,yes,yes,yes
calibration,5,44,10,45056,29,44544,d5:r44:peven:b2,d5:r176:peven:b2,visible,d4:r29:podd:b0,6013,324,5687,5598,5598,0,2,89,5922,91,0.984866123399,0.015133876601,yes,yes,yes,yes,yes,yes
calibration,5,47,8,12032,31,11904,d5:r47:podd:b0,d5:r188:peven:b2,Q_K:T0,Q_K:T0,1410,733,675,675,0,675,2,0,733,677,0.519858156028,0.480141843972,yes,yes,yes,yes,yes,yes
calibration,5,47,9,24064,31,23808,d5:r47:podd:b0,d5:r188:peven:b2,Q_K:T0,Q_K:T0,2849,1428,1419,1419,0,1419,2,0,1428,1421,0.501228501229,0.498771498771,yes,yes,yes,yes,yes,yes
calibration,5,47,10,48128,31,47616,d5:r47:podd:b0,d5:r188:peven:b2,Q_K:T0,Q_K:T0,5549,2822,2725,2724,0,2724,2,1,2822,2727,0.508560100919,0.491439899081,yes,yes,yes,yes,yes,yes
calibration,5,50,8,12800,33,12672,d5:r50:peven:b1,d5:r200:peven:b2,Q_K:T0,Q_K:T0,236,225,9,9,0,9,2,0,225,11,0.953389830508,0.046610169492,yes,yes,yes,yes,yes,yes
calibration,5,50,9,25600,33,25344,d5:r50:peven:b1,d5:r200:peven:b2,Q_K:T0,Q_K:T0,447,435,10,10,0,10,2,0,435,12,0.973154362416,0.026845637584,yes,yes,yes,yes,yes,yes
calibration,5,50,10,51200,33,50688,d5:r50:peven:b1,d5:r200:peven:b2,Q_K:T0,Q_K:T0,941,928,11,11,0,11,2,0,928,13,0.986184909671,0.013815090329,yes,yes,yes,yes,yes,yes
calibration,5,53,8,13568,35,13440,d5:r53:podd:b0,d5:r212:peven:b2,visible,d4:r35:podd:b0,4050,62,3986,3982,3982,0,2,4,4044,6,0.998518518519,0.001481481481,yes,yes,yes,yes,yes,yes
calibration,5,53,9,27136,35,26880,d5:r53:podd:b0,d5:r212:peven:b2,visible,d4:r35:podd:b0,7953,115,7836,7811,7811,0,2,25,7926,27,0.996605054696,0.003394945304,yes,yes,yes,yes,yes,yes
calibration,5,53,10,54272,35,53760,d5:r53:podd:b0,d5:r212:peven:b2,visible,d4:r35:podd:b0,15374,208,15164,15094,15094,0,2,70,15302,72,0.995316768570,0.004683231430,yes,yes,yes,yes,yes,yes
calibration,5,56,8,14336,37,14208,d5:r56:peven:b2,d5:r224:peven:b2,Q_K:T0,Q_K:T0,1368,150,1216,1216,0,1216,2,0,150,1218,0.109649122807,0.890350877193,yes,yes,yes,yes,yes,yes
calibration,5,56,9,28672,37,28416,d5:r56:peven:b2,d5:r224:peven:b2,Q_K:T0,Q_K:T0,3056,325,2729,2718,0,2718,2,11,325,2731,0.106348167539,0.893651832461,yes,yes,yes,yes,yes,yes
calibration,5,56,10,57344,37,56832,d5:r56:peven:b2,d5:r224:peven:b2,Q_K:T0,Q_K:T0,6102,603,5497,5453,0,5453,2,44,603,5499,0.098820058997,0.901179941003,yes,yes,yes,yes,yes,yes
calibration,5,59,8,15104,39,14976,d5:r59:podd:b0,d5:r236:peven:b2,Q_K:T0,Q_K:T0,542,531,9,9,0,9,2,0,531,11,0.979704797048,0.020295202952,yes,yes,yes,yes,yes,yes
calibration,5,59,9,30208,39,29952,d5:r59:podd:b0,d5:r236:peven:b2,Q_K:T0,Q_K:T0,1010,998,10,10,0,10,2,0,998,12,0.988118811881,0.011881188119,yes,yes,yes,yes,yes,yes
calibration,5,59,10,60416,39,59904,d5:r59:podd:b0,d5:r236:peven:b2,Q_K:T0,Q_K:T0,2166,2153,11,11,0,11,2,0,2153,13,0.993998153278,0.006001846722,yes,yes,yes,yes,yes,yes
calibration,5,62,8,15872,41,15744,d5:r62:peven:b1,d5:r5:peven:b2,visible,d4:r41:podd:b0,967,385,580,580,580,0,2,0,965,2,0.997931747673,0.002068252327,yes,yes,yes,yes,yes,yes
calibration,5,62,9,31744,41,31488,d5:r62:peven:b1,d5:r5:peven:b2,visible,d4:r41:podd:b0,1841,728,1111,1111,1111,0,2,0,1839,2,0.998913633895,0.001086366105,yes,yes,yes,yes,yes,yes
calibration,5,62,10,63488,41,62976,d5:r62:peven:b1,d5:r5:peven:b2,visible,d4:r41:podd:b0,3586,1446,2138,2138,2138,0,2,0,3584,2,0.999442275516,0.000557724484,yes,yes,yes,yes,yes,yes
