phase,modulus,parent_class,parent_residue,lift,q,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,root_residue_hook,lift_index_hook,q_membership_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,36,2,2,2,2,290,193,386,8,74240,74112,1761,905,True,True,True,True,True,True,True,True
calibration,36,2,2,2,2,290,193,386,9,148480,148224,3384,1681,True,True,True,True,True,True,True,True
calibration,36,2,2,2,2,290,193,386,10,296960,296448,6402,3233,True,True,True,True,True,True,True,True
calibration,36,2,2,2,3,398,265,530,8,101888,101760,1429,1116,True,True,True,True,True,True,True,True
calibration,36,2,2,2,3,398,265,530,9,203776,203520,3011,2321,True,True,True,True,True,True,True,True
calibration,36,2,2,2,3,398,265,530,10,407552,407040,5616,4286,True,True,True,True,True,True,True,True
calibration,36,2,2,2,4,506,337,674,8,129536,129408,3478,3040,True,True,True,True,True,True,True,True
calibration,36,2,2,2,4,506,337,674,9,259072,258816,6869,6032,True,True,True,True,True,True,True,True
calibration,36,2,2,2,4,506,337,674,10,518144,517632,13310,11746,True,True,True,True,True,True,True,True
calibration,36,2,2,2,5,614,409,818,8,157184,157056,2265,1723,True,True,True,True,True,True,True,True
calibration,36,2,2,2,5,614,409,818,9,314368,314112,4615,3318,True,True,True,True,True,True,True,True
calibration,36,2,2,2,5,614,409,818,10,628736,628224,9454,6912,True,True,True,True,True,True,True,True
calibration,36,2,2,2,6,722,481,962,8,184832,184704,3942,3600,True,True,True,True,True,True,True,True
calibration,36,2,2,2,6,722,481,962,9,369664,369408,8358,7751,True,True,True,True,True,True,True,True
calibration,36,2,2,2,6,722,481,962,10,739328,738816,15792,14555,True,True,True,True,True,True,True,True
calibration,36,2,2,2,7,830,553,1106,8,212480,212352,1866,921,True,True,True,True,True,True,True,True
calibration,36,2,2,2,7,830,553,1106,9,424960,424704,3491,1709,True,True,True,True,True,True,True,True
calibration,36,2,2,2,7,830,553,1106,10,849920,849408,6803,3400,True,True,True,True,True,True,True,True
calibration,36,2,11,0,0,11,7,14,8,2816,2688,723,259,True,True,True,True,True,True,True,True
calibration,36,2,11,0,0,11,7,14,9,5632,5376,1385,531,True,True,True,True,True,True,True,True
calibration,36,2,11,0,0,11,7,14,10,11264,10752,2728,1061,True,True,True,True,True,True,True,True
calibration,36,2,11,0,1,119,79,158,8,30464,30336,804,150,True,True,True,True,True,True,True,True
calibration,36,2,11,0,1,119,79,158,9,60928,60672,1519,300,True,True,True,True,True,True,True,True
calibration,36,2,11,0,1,119,79,158,10,121856,121344,2991,566,True,True,True,True,True,True,True,True
calibration,36,2,11,0,2,227,151,302,8,58112,57984,1203,619,True,True,True,True,True,True,True,True
calibration,36,2,11,0,2,227,151,302,9,116224,115968,2502,1310,True,True,True,True,True,True,True,True
calibration,36,2,11,0,2,227,151,302,10,232448,231936,5115,2807,True,True,True,True,True,True,True,True
calibration,36,2,11,0,3,335,223,446,8,85760,85632,699,247,True,True,True,True,True,True,True,True
calibration,36,2,11,0,3,335,223,446,9,171520,171264,1349,435,True,True,True,True,True,True,True,True
calibration,36,2,11,0,3,335,223,446,10,343040,342528,2464,741,True,True,True,True,True,True,True,True
