a,c,x,qAdv,xAdv,target_count,retarded_count,advanced_full_count,advanced_window_count,e5_numerator,e5_gap,deterministic_atom_gap,advanced_window_gap,closure_percent,partition_ok,pairwise_disjoint_ok,advanced_subset_ok,gap_identity_ok,route_hooks_ok,window_hooks_ok,all_hooks_ok,target_sha256,retarded_sha256,advanced_full_sha256,advanced_window_sha256,advanced_boundary_examples
8,5,16384,1024,15360,9799,659,9138,8588,9248,551,1,550,94.376977243,yes,yes,yes,yes,yes,yes,yes,f98e8021b8b4d35874d018eb60b1db5c738bf6454b40c5d5ce1e9191ff618d74,46b15916b89bd290b7e038cb8b9faa8e43e9e10f82b6c3576262d59644e4dd3d,fc5816e5e31046167006d5a60d25547e972c37ce41ff988619aad01894963598,b09bbc5a6614dac9c79dc1cb33213a2cca0be160536f1f2cb00f7ca583684717,2079 2143 2539 2857 3087 3119 3151 3215 3385 3675 3809 4011
17,11,34816,1024,33792,8744,391,8351,8162,8554,190,1,189,97.827081427,yes,yes,yes,yes,yes,yes,yes,b3472eabf6ec7d745fef5be5efb3fc66772d0956266c06edc6c8ee61031bba47,e369973ccee8a60c1420415d54bd2b16f8201c63287e675d3c26009883e7b859,a40b543acccc06cd8571b575dcf113b7b0c589819194295e0c6dc93a4c06818b,be62feb05ab52026ad630e1fbc7d59150a283edcf9200ac1ec4046a68f77fd6b,6735 6831 10103 10119 10167 10247 10263 13470 13662 15123 15147 15155
26,17,53248,1024,52224,14211,447,13762,13470,13918,293,1,292,97.938216874,yes,yes,yes,yes,yes,yes,yes,3da070bc06cfe123c03af30be2c808015ba174c544f3afbab1f8dadfc2d84fee,30ecd03755ad3351aead1a2e154a0c9d8498f9c57863fb6003768a0408b0cab3,3debf4f794e77e5df42de644b22fdfeb9b101c60892da536dd1b2599ccd738b6,97c075a23900ed98118f3fd49af26c639658811bc267a91e7b525215b18769a6,4671 6127 7007 8169 9191 9342 10383 10511 12254 13787 14014 14523
35,23,71680,1024,70656,19847,666,19179,18939,19606,241,1,240,98.785710687,yes,yes,yes,yes,yes,yes,yes,f761a1ebb3506795b9de6a6ce809d9af66652b21ee0cf690b8ce2690c599d3a9,4cdbb58105db28188adb5f536b01a47da8090a4fda2ed6b1d13370eb68c7d273,52a9ba79515787c570dd5ab17dc6c543c5f56208b1e7431e03936c9f7dc76423,f4f49a7f0b0d2f2b6e18bb332d55a1bffbc41e7d3724190514a74308d128f223,14095 18793 21015 21111 21143 21207 25057 25083 27963 28190 28219 31411
44,29,90112,1024,89088,12417,730,11685,11369,12100,317,1,316,97.447048401,yes,yes,yes,yes,yes,yes,yes,ee68feca86945d3e7b2234669828423841384cd1932892234bffaaffd3c6464f,d1323e56d7cf4b317a577d18a5379b5efa912d63334b855ff8b571bc3affb204,63770592aff7fd859c0703edcc67bad6164799c01893faf342c4d3d9df945dac,5fd87419a5e878173eab3d4365a0a0944609f8f4c1db3fb6d4f67bb4099990cb,5247 7871 8283 9319 10494 11055 11743 11807 12425 13979 15657 15727
53,35,108544,1024,107520,30443,397,30044,29911,30309,134,1,133,99.559833131,yes,yes,yes,yes,yes,yes,yes,18cc5e98f6abf7e25655614a19170dc951bc7fd067cb2deb49522f95e5622755,2ee5a751aa97a48a1afa1631fddd37ba1cd047314dac079b9f8b3ad4d9bf52e3,5d8c89a8ec7ea7f2760d13465c454c8ba5a51836fef3f0ee572dc54480388a88,0d24815afd26b40d955d9590bcbbd10158ff986f222333e4265722993b84bb8b,32151 47787 47827 47907 47923 48003 48099 48147 48227 63769 63897 64302
62,41,126976,1024,125952,7313,2627,4684,4684,7312,1,1,0,99.986325721,yes,yes,yes,yes,yes,yes,yes,c0cc9c64601ad16cb7eb7af11d6c0290fa5088d412ce4dee04ee375f2436dc40,05139922ec24189e5dcfad701d57f96d4eb6d36a24fb3c0df1d4bd5351c48c45,9cd9cb249c9370f083bcf2c765e9787106c3d399e64cbdf073b221a5fc38dc45,9cd9cb249c9370f083bcf2c765e9787106c3d399e64cbdf073b221a5fc38dc45,
71,47,145408,1024,144384,16678,714,15962,15877,16592,86,1,85,99.484350642,yes,yes,yes,yes,yes,yes,yes,2f6503dd8cc6a7e78f4bd0ad45b3350a81c7c52d1888625ddae59092a74d1847,d2f7f4e5a1cf8b77d0a1c722983dfe7900ccd5278177eae027de5307ceb59438,08d5eb4e84012a77f91299fa6fff07d31b1c006ce749922a173528a358a51a18,80f8326286952dfa26549084dd73bd7c2e75734be52ae807331641891662dcbd,38107 42807 42871 45163 50809 57147 57161 60217 64195 64211 64291 64307
80,53,163840,1024,162816,45589,575,45012,44825,45401,188,1,187,99.587619821,yes,yes,yes,yes,yes,yes,yes,d42f7c6862c3df310e7d29098c891b637af84d5624a6c72e210cb96c02b3f013,7f16e330f470a42962a3c929fc81eb28d6ea6f25025b089efd96c5b4394dd961,fbc61f4e13efadc1c557f2aa3d97c480efe400c95875815e1036538eea4b622b,5688cf8c4e87a178c0e22ad0d776e0a6949724e5014183634668f234843f56e0,32271 32335 43113 48407 48503 48519 64443 64542 64635 64670 72499 72555
89,59,182272,1024,181248,10351,2318,8031,8031,10350,1,1,0,99.990339098,yes,yes,yes,yes,yes,yes,yes,375720dc0d6b69ef86acfdbfda8f3c198cf8024d5afc2570ff787c0ef69163f1,8005dde735537df59cf7bb6da9a3aedb23c45bd0cb550423a25b19185530f6a8,ca561b46ccc31e7686181a94c97221675e7a456ad553222ff136d1096334ee8b,ca561b46ccc31e7686181a94c97221675e7a456ad553222ff136d1096334ee8b,
98,65,200704,1024,199680,16713,364,16347,16347,16712,1,1,0,99.994016634,yes,yes,yes,yes,yes,yes,yes,d6abbe42304fba666064659cc81a38956b35282a47394e281627e910033a25eb,fa7451aa82e0403ae5024bc94b8d7451eb20ebbbea214103a358aa004d68ade4,ace6efb87009e967e67e86c84e7c6c292d5437e62ff9d0f19debcac658306d35,ace6efb87009e967e67e86c84e7c6c292d5437e62ff9d0f19debcac658306d35,
107,71,219136,1024,218112,25775,669,25104,24898,25568,207,1,206,99.196896217,yes,yes,yes,yes,yes,yes,yes,0256fb8d9246ffbcead7a7c28c481bd5449694dea1936ee265b32fc3ea30fd30,35a7dda7ed548791190d5376fe47bd4502f17dc2bd96f1e216b74deb26b23062,6ea9a4f39f709e9aaee67fdae04ab5d76ca34b45c9e0fe3e099943d9273ccc2b,a3adec626fb90ae43f167e727dc3908ea34e23ade26d8ed306b888f7c55a306e,17055 25583 28767 34110 38375 43151 51166 57534 57563 57691 64727 64759
116,77,237568,1024,236544,7228,817,6409,6409,7227,1,1,0,99.986164914,yes,yes,yes,yes,yes,yes,yes,6807242cb2247366cea53b15cd22a5292634a69c6ee13a1a57a5cad53289f2dd,b1da3f67996bcb21834790db8777f917e12d5f8dc39013df85062d3de6c905aa,9965735314900d8e4cfddf29b7b8d2915ea127aa9317a0dc2b0e9d3ca3196e52,9965735314900d8e4cfddf29b7b8d2915ea127aa9317a0dc2b0e9d3ca3196e52,
125,83,256000,1024,254976,13273,3835,9436,9436,13272,1,1,0,99.992465908,yes,yes,yes,yes,yes,yes,yes,57d737db0e6d94d56828ed8d93da0a3cbf8eabcadadc956711b14d8556bc73f6,9ba8a0de64630d0f06296e9bb4637ee2d52cc8c790ae1eea6168a088e09e2d9c,58cc287aa2305d653e5d171f724ec6d24e4bde46eb5cb56d28ad281776139d40,58cc287aa2305d653e5d171f724ec6d24e4bde46eb5cb56d28ad281776139d40,
134,89,274432,1024,273408,15522,385,15135,15115,15501,21,1,20,99.864708156,yes,yes,yes,yes,yes,yes,yes,f99b821f3fb5337149832193c7bbc1da2e9d5cf68e0d3bc56512a1650f1ce4a9,1f2c6a06bf11dabb8cba61c1387e12f6a34fb17faaf6984f8101f4dea13b6c26,573c465a80a5c45a24214ddebc0c97a79811cb9729c74a492dc4eb656c2a7f84,53f8e11dbaa275f2ba67c83374251a334948d9af6579f6fc21e95483eadaa093,54159 81239 108318 121859 162478 182733 182737 182789 216636 243718 274092 274096
143,95,292864,1024,291840,12621,3600,9019,9015,12616,5,1,4,99.960383488,yes,yes,yes,yes,yes,yes,yes,a0e703d809017c50a418236ba447fcfb150326bddcf786c5bf8c22fbaf1c373b,ed21a5a708e5fba7e69d5845a1037290c6a7805f4c4d4765451a9cbd491e8b3d,fdb7bd0a8bc0f370cb8872ce74fcabde1a9516d4d5a1e2b4fda96d9696c16738,1562b2eb5c6112dfc0f5d6615bccd107ee2c41a21ded19592c92e903d51d2864,194625 291876 291938 291940
152,101,311296,1024,310272,26872,478,26392,26297,26776,96,1,95,99.642750819,yes,yes,yes,yes,yes,yes,yes,97d1d1ad4405a3a1ec4940a073851ac1a4ca9ed734f2293f1d5d344ec33f42a0,f142ee945809edb81d3a1628f9c3487d701fe1821ed96f795babd51abd95a162,166bdbb1b882325eeae8ffbe7c4d4f0b32ec36a38ba6100d62c854be6134aef0,ba33301de8f5346a61565356f4d709618bff3e2d545db5afa57373ee86086caa,137907 137923 138003 138243 138291 183897 206861 206865 206869 206885 206893 206941
161,107,329728,1024,328704,38725,528,38195,38044,38573,152,1,151,99.607488702,yes,yes,yes,yes,yes,yes,yes,4308e5cb3ee7d3ebafb86c3ba4f2fda305ec721fb7a5aac4bf4718a6a5b52876,601b686586904792d989ebc48336a06ccaacf63a5dcd2d0447e9c48cf09868b4,240ec902dc49ba327b0bf112dc1464f946b0fa689345a39a39383fff7d9c2adf,d264f609c23838c013f67d8480ab1beb9d162062b6c4b3194fca1a0b53e19f2c,38503 51337 57755 60843 64975 68449 77006 86633 91207 91265 97399 97463
170,113,348160,1024,347136,5281,837,4442,4442,5280,1,1,0,99.981064192,yes,yes,yes,yes,yes,yes,yes,a864de91bf770bf63eaa636a530e03bbaacc0d9ea7a5dabe2e1338afabacaefa,e4ae05bb3f10dec380f19c8aca8aad3dffe11a2331fc19f2fc2d130b20f24152,5d5f040dd216f198cc7a8e06849d3983ea84d57384e16da2cc910d1cf2dc672f,5d5f040dd216f198cc7a8e06849d3983ea84d57384e16da2cc910d1cf2dc672f,
