a,c,x,qAdv,xAdv,target_count,retarded_count,advanced_full_count,advanced_window_count,e5_numerator,e5_gap,deterministic_atom_gap,advanced_window_gap,closure_percent,partition_ok,pairwise_disjoint_ok,advanced_subset_ok,gap_identity_ok,route_hooks_ok,window_hooks_ok,all_hooks_ok,target_sha256,retarded_sha256,advanced_full_sha256,advanced_window_sha256,advanced_boundary_examples
8,5,8192,512,7680,5087,353,4732,4455,4809,278,1,277,94.535089444,yes,yes,yes,yes,yes,yes,yes,477c92b65f2576b87409294ed56d4e894a0b23dfec6d687409abc01fd3a705ae,bed1cfe2980307d1fa290ca89e8a821d656503761be42f50dc4b704769d54774,0e74a6b0278bc8ff80b5fd380ebdb4d364b89f907d05ca1f5c15d529a1a9bd12,47da108a829eabdf7d6538c97abfc6d63ddca78b1e6c1d66bc3a1f5f3af968e8,927 1391 1551 1854 1863 2087 2295 2311 2327 2359 2391 2782
17,11,17408,512,16896,4290,221,4067,3929,4151,139,1,138,96.759906760,yes,yes,yes,yes,yes,yes,yes,f15613987d1ce8fd3e9d2ad38129b9c3f1b95f8a6c7f757b86a91173d9a4c697,305267fa24518942a2dc04303afe948c7a7a91c9128a1937b7830a551dee64b7,eaa23ae9296779c0ecd202741f6788c631118f666d4815c84306689005fed460,af044a81d15473e504ee8937beffc7161ad0cd5545dddb14a22e9803cda9f326,2031 2971 3047 3343 3961 4062 4457 4519 4571 5015 5143 5281
26,17,26624,512,26112,6901,223,6676,6579,6803,98,1,97,98.579915954,yes,yes,yes,yes,yes,yes,yes,dca968add9d4253ab193e2ce01ae41a33e105ec2cf269387e67c9987c621bca8,fbdca225d831e18ff8f00df9dafb93e1df1a575edf68dcd3cd7a2f05e5d63125,4ca3b04eb2cb81613c31ac97d83cbf71eb92a836be8a79e77053ab849a1752f2,3c9ae7aac7061c5e48406e5205baf61e38618998519e5309d9bb402a2556c12b,7767 11619 11651 11667 11683 11763 11787 15534 15577 17429 17461 17477
35,23,35840,512,35328,10209,311,9896,9768,10080,129,1,128,98.736409051,yes,yes,yes,yes,yes,yes,yes,a10f8da3fc81700f935dd598e4e5c750a8ea7915f7fd3d1be0ff09b3ba4812f1,8863ca32a0b8a68528300a45b6fb0731eb95c8116157750012f79a447899a44f,a30c0e58bbefe9a3aa452d95bb098c37a11c05eecda92fd80b986c51ccadb745,1f1160e5a8495ae0914caa9b0a3ef53897063ce79288bcaedff42bf062d08573,9435 10519 10551 10615 14011 14025 14153 15715 15747 15763 15779 15787
44,29,45056,512,44544,6013,324,5687,5598,5923,90,1,89,98.503242974,yes,yes,yes,yes,yes,yes,yes,94efc07236511b11a7c0d54eb44de40d501d7948ca616ef47b35640994395969,7e5c39bdca994364e45928bd8286a979698a40f578d92feda9c46597b23acfac,6447b1736c6d2ee68eead70d618024287dba493142b677def8b5be29b22e1f66,b456b88f9c8c82dd198af685fbc0d2f9290fab1dafd107068a74d7e8f8bf97fa,8847 13271 17694 19851 19875 19891 19907 19915 26521 26542 26553 29709
53,35,54272,512,53760,15374,208,15164,15094,15303,71,1,70,99.538181345,yes,yes,yes,yes,yes,yes,yes,e20bfe2846115f73c7e6d937eb55e3e7bc42b1601444e615a6ab46e8f294b9bd,eb00454b533911a7bb419393992b4a5a0d6f3182d278fdaf9834e424e1e93ed1,b658225cdf179ede1d5a0b70b803a0931e98c5856d49155d5e333a5a9ee1fb84,c56cdc08d934829c8f3a7f2b31d0406d02cad55897f7bf2fd96de350b6161abb,9447 14171 15943 18894 21257 21435 23915 23923 24003 24075 24115 28342
62,41,63488,512,62976,3586,1446,2138,2138,3585,1,1,0,99.972113776,yes,yes,yes,yes,yes,yes,yes,db91d3dcceb96288408a78442a34bcf9feda1ad3e82a615f6996ab89b61423d6,905921836cba9203339a06b7eff41315aea7004d376ed422c9a0805bfc918337,ae93c087161674649ba3e74cf5cd4396caeaf769449060445ebfc76c776220c8,ae93c087161674649ba3e74cf5cd4396caeaf769449060445ebfc76c776220c8,
71,47,72704,512,72192,8809,408,8399,8358,8767,42,1,41,99.523214894,yes,yes,yes,yes,yes,yes,yes,fd3c2abb2ee276c46a5fd76de871ed0b7a1ede00b5560b2af18be294f0ee3b97,76ef0665aa374a8790fdbd5c195d3ef31b0d50af0c443d003625ccbbc812204b,3782d00d38b8e4fc6417dfc0457df7c915245709e69e85845ea894263111db16,09cc3a88ab2b8dd067ce3a2c66ff26ff661b9a93a47f6e5d2ed9c092e01e9290,12699 14287 19049 21431 25398 28539 28574 32107 32147 38098 42809 42862
80,53,81920,512,81408,23331,293,23036,22894,23188,143,1,142,99.387081565,yes,yes,yes,yes,yes,yes,yes,1c48ab6c0214d51fae1ddcc2e69e73614768b6cf20bd2d61a3b7c5c53632020d,1bfa8989fcfba5323b5fb33310d61e7d1824b7d6e875680de0173bdf62638743,08267992cf75611564c1b46596b6ddacc8944544ddbc06b8347e985e7356230e,79c33eeb9a6be6ed426eb44addccaeeb952c15922acb94ad01492e84abbb8f6e,5679 8519 10783 11358 12779 14377 16143 16175 17038 19169 21543 21566
89,59,91136,512,90624,4371,1215,3154,3154,4370,1,1,0,99.977121940,yes,yes,yes,yes,yes,yes,yes,3afebeae8b04dfa3833962d727159e82359c57cd73b9954d7910dd0b41b8e6da,9f3fd687b30fe7102e8cff0ed608f6aca8c76256b30adb2dd5282b8c30d1e125,d465f272e19128fca42b26491add6665b535e62bf7bf348f854c3c70baae806c,d465f272e19128fca42b26491add6665b535e62bf7bf348f854c3c70baae806c,
98,65,100352,512,99840,7841,192,7647,7647,7840,1,1,0,99.987246525,yes,yes,yes,yes,yes,yes,yes,ef3d9f9b05aca9754789bef52019349359efa5520b8c13f6b12bf4331181945b,4f30441fb6805affe9495473fafd2bcb3f68b262064d3ad80e12f36a4b25135e,b73a279633fa7404c0b59d7e04d37fb7054010da210ecc073f84d5e254cf1ce7,b73a279633fa7404c0b59d7e04d37fb7054010da210ecc073f84d5e254cf1ce7,
107,71,109568,512,109056,13269,371,12896,12795,13167,102,1,101,99.231290979,yes,yes,yes,yes,yes,yes,yes,ffdbb06953fcf558d1e33452707b1da2572fc6d23f59b167aebcbb2c234b152e,90311ca8327fa19c0c90aa57e3315f1d25850da1c117d8384ae7dc7421013dad,eefc79df671dafbca2533537466938bfddfdb7cd00091dae5f3cd081ff366e23,f167e176c8ff37c16ca18a20649ec4b4f9117c041972bec66daa9d54ba2d48f1,21583 25579 28777 30315 32375 32455 34105 38369 43166 43273 45473 48547
116,77,118784,512,118272,3581,415,3164,3164,3580,1,1,0,99.972074839,yes,yes,yes,yes,yes,yes,yes,fa0fc17d55b18a2705363e5810191e7104bad7350e024a7b4d56209d8d6a7c4f,02995d76462c0d33b360ede855767d01acdbc3444b45774611a8742a2891a17d,4bc9ffa1036c49fcaffcf3f6d8805896eb547e16a1c521b26c59a3f03ee12315,4bc9ffa1036c49fcaffcf3f6d8805896eb547e16a1c521b26c59a3f03ee12315,
