source_id,source,deep_lift,channel,target_id,target,weight_decimal,multiplicity
61,d5:r20:peven:b1,0,advanced_parity_lift_c1,79,d5:r26:peven:b1,2.611746871334388875e-01,1/3
61,d5:r20:peven:b1,1,advanced_parity_lift_c1,322,d5:r107:peven:b1,2.611746871334388875e-01,1/3
61,d5:r20:peven:b1,2,advanced_parity_lift_c1,565,d5:r188:peven:b1,2.611746871334388875e-01,1/3
62,d5:r20:peven:b2,,retarded,242,d5:r80:peven:b2,3.086419753086419582e-01,1
62,d5:r20:peven:b2,0,advanced_parity_lift_c1,79,d5:r26:peven:b1,2.611746871334388875e-01,1/3
62,d5:r20:peven:b2,1,advanced_parity_lift_c1,322,d5:r107:peven:b1,2.611746871334388875e-01,1/3
62,d5:r20:peven:b2,2,advanced_parity_lift_c1,565,d5:r188:peven:b1,2.611746871334388875e-01,1/3
63,d5:r21:podd:b0,,retarded,254,d5:r84:peven:b2,3.086419753086419582e-01,1
64,d5:r21:peven:b1,,retarded,254,d5:r84:peven:b2,3.086419753086419582e-01,1
65,d5:r21:peven:b2,,retarded,254,d5:r84:peven:b2,3.086419753086419582e-01,1
66,d5:r22:podd:b0,,retarded,266,d5:r88:peven:b2,3.086419753086419582e-01,1
67,d5:r22:peven:b1,,retarded,266,d5:r88:peven:b2,3.086419753086419582e-01,1
68,d5:r22:peven:b2,,retarded,266,d5:r88:peven:b2,3.086419753086419582e-01,1
69,d5:r23:podd:b0,,retarded,278,d5:r92:peven:b2,3.086419753086419582e-01,1
70,d5:r23:peven:b1,,retarded,278,d5:r92:peven:b2,3.086419753086419582e-01,1
71,d5:r23:peven:b2,,retarded,278,d5:r92:peven:b2,3.086419753086419582e-01,1
72,d5:r24:podd:b0,,retarded,290,d5:r96:peven:b2,3.086419753086419582e-01,1
73,d5:r24:peven:b1,,retarded,290,d5:r96:peven:b2,3.086419753086419582e-01,1
74,d5:r24:peven:b2,,retarded,290,d5:r96:peven:b2,3.086419753086419582e-01,1
75,d5:r25:podd:b0,,retarded,302,d5:r100:peven:b2,3.086419753086419582e-01,1
76,d5:r25:peven:b1,,retarded,302,d5:r100:peven:b2,3.086419753086419582e-01,1
77,d5:r25:peven:b2,,retarded,302,d5:r100:peven:b2,3.086419753086419582e-01,1
78,d5:r26:podd:b0,,retarded,314,d5:r104:peven:b2,3.086419753086419582e-01,1
