source_id,source,deep_lift,channel,target_id,target,weight_decimal,multiplicity
187,d5:r62:peven:b1,2,advanced_direct_c2,366,d5:r122:podd:b0,4.701144368401899420e-01,1/3
188,d5:r62:peven:b2,,retarded,17,d5:r5:peven:b2,3.086419753086419582e-01,1
188,d5:r62:peven:b2,0,advanced_direct_c2,123,d5:r41:podd:b0,4.701144368401899420e-01,1/3
188,d5:r62:peven:b2,1,advanced_direct_c2,609,d5:r203:podd:b0,4.701144368401899420e-01,1/3
188,d5:r62:peven:b2,2,advanced_direct_c2,366,d5:r122:podd:b0,4.701144368401899420e-01,1/3
189,d5:r63:podd:b0,,retarded,29,d5:r9:peven:b2,3.086419753086419582e-01,1
190,d5:r63:peven:b1,,retarded,29,d5:r9:peven:b2,3.086419753086419582e-01,1
191,d5:r63:peven:b2,,retarded,29,d5:r9:peven:b2,3.086419753086419582e-01,1
192,d5:r64:podd:b0,,retarded,41,d5:r13:peven:b2,3.086419753086419582e-01,1
193,d5:r64:peven:b1,,retarded,41,d5:r13:peven:b2,3.086419753086419582e-01,1
194,d5:r64:peven:b2,,retarded,41,d5:r13:peven:b2,3.086419753086419582e-01,1
195,d5:r65:podd:b0,,retarded,53,d5:r17:peven:b2,3.086419753086419582e-01,1
195,d5:r65:podd:b0,0,advanced_parity_lift_c1,259,d5:r86:peven:b1,2.611746871334388875e-01,1/3
195,d5:r65:podd:b0,1,advanced_parity_lift_c1,502,d5:r167:peven:b1,2.611746871334388875e-01,1/3
195,d5:r65:podd:b0,2,advanced_parity_lift_c1,16,d5:r5:peven:b1,2.611746871334388875e-01,1/3
196,d5:r65:peven:b1,,retarded,53,d5:r17:peven:b2,3.086419753086419582e-01,1
196,d5:r65:peven:b1,0,advanced_parity_lift_c1,259,d5:r86:peven:b1,2.611746871334388875e-01,1/3
196,d5:r65:peven:b1,1,advanced_parity_lift_c1,502,d5:r167:peven:b1,2.611746871334388875e-01,1/3
196,d5:r65:peven:b1,2,advanced_parity_lift_c1,16,d5:r5:peven:b1,2.611746871334388875e-01,1/3
197,d5:r65:peven:b2,,retarded,53,d5:r17:peven:b2,3.086419753086419582e-01,1
197,d5:r65:peven:b2,0,advanced_parity_lift_c1,259,d5:r86:peven:b1,2.611746871334388875e-01,1/3
