source_id,source,deep_lift,channel,tail_weight_decimal,multiplicity,tail_name
152,d5:r50:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
177,d5:r59:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
177,d5:r59:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
177,d5:r59:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
178,d5:r59:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
178,d5:r59:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
178,d5:r59:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
179,d5:r59:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
179,d5:r59:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
179,d5:r59:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
204,d5:r68:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
204,d5:r68:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
204,d5:r68:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
205,d5:r68:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
205,d5:r68:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
205,d5:r68:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
206,d5:r68:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
206,d5:r68:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
206,d5:r68:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
231,d5:r77:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
231,d5:r77:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
231,d5:r77:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
232,d5:r77:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
232,d5:r77:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
232,d5:r77:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
233,d5:r77:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
233,d5:r77:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
233,d5:r77:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
258,d5:r86:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
258,d5:r86:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
258,d5:r86:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
259,d5:r86:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
259,d5:r86:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
259,d5:r86:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
260,d5:r86:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
260,d5:r86:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
260,d5:r86:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
285,d5:r95:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
285,d5:r95:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
285,d5:r95:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
286,d5:r95:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
286,d5:r95:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
286,d5:r95:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
287,d5:r95:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
287,d5:r95:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
287,d5:r95:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
312,d5:r104:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
312,d5:r104:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
312,d5:r104:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
313,d5:r104:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
313,d5:r104:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
313,d5:r104:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
314,d5:r104:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
314,d5:r104:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
314,d5:r104:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
339,d5:r113:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
339,d5:r113:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
339,d5:r113:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
340,d5:r113:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
340,d5:r113:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
340,d5:r113:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
341,d5:r113:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
341,d5:r113:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
341,d5:r113:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
366,d5:r122:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
366,d5:r122:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
366,d5:r122:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
367,d5:r122:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
367,d5:r122:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
367,d5:r122:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
368,d5:r122:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
368,d5:r122:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
368,d5:r122:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
393,d5:r131:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
393,d5:r131:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
393,d5:r131:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
394,d5:r131:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
394,d5:r131:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
394,d5:r131:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
395,d5:r131:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
395,d5:r131:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
395,d5:r131:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
420,d5:r140:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
420,d5:r140:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
420,d5:r140:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
421,d5:r140:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
421,d5:r140:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
421,d5:r140:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
422,d5:r140:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
422,d5:r140:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
422,d5:r140:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
447,d5:r149:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
447,d5:r149:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
