core_local_id,state_id,v_integer,v_denominator,lhs_num,lhs_den,rhs_num,rhs_den,slack_num,slack_den,lhs_over_rhs_decimal,passes
39,123,5067176,1000000,3790892624999999789863240011,781250000000000000000,124145812,25,88664000000000210136759989,781250000000000000000,0.9771458420200272,True
40,124,5067176,1000000,3790892624999999789863240011,781250000000000000000,124145812,25,88664000000000210136759989,781250000000000000000,0.9771458420200272,True
41,125,5067176,1000000,3790892624999999789863240011,781250000000000000000,124145812,25,88664000000000210136759989,781250000000000000000,0.9771458420200272,True
42,132,18273644,1000000,4374724082253946873206320212497679027654251,250000000000000000000000000000000000,447704278,25,102318697746053126793679787502320972345749,250000000000000000000000000000000000,0.9771459191314555,True
43,133,18273644,1000000,4374724082253946873206320212497679027654251,250000000000000000000000000000000000,447704278,25,102318697746053126793679787502320972345749,250000000000000000000000000000000000,0.9771459191314555,True
44,134,18273644,1000000,4374724082253946873206320212497679027654251,250000000000000000000000000000000000,447704278,25,102318697746053126793679787502320972345749,250000000000000000000000000000000000,0.9771459191314555,True
45,141,19754311,1000000,151334298450623891737446800173253409688707,8000000000000000000000000000000000,967961239,50,3539499789376108262553199826746590311293,8000000000000000000000000000000000,0.9771459095754136,True
46,142,19754311,1000000,151334298450623891737446800173253409688707,8000000000000000000000000000000000,967961239,50,3539499789376108262553199826746590311293,8000000000000000000000000000000000,0.9771459095754136,True
47,143,19754311,1000000,151334298450623891737446800173253409688707,8000000000000000000000000000000000,967961239,50,3539499789376108262553199826746590311293,8000000000000000000000000000000000,0.9771459095754136,True
48,150,1412706,1000000,1056883624999999941414826899,781250000000000000000,34611297,25,24719406250000058585173101,781250000000000000000,0.9771455834203496,True
49,151,1412706,1000000,1056883624999999941414826899,781250000000000000000,34611297,25,24719406250000058585173101,781250000000000000000,0.9771455834203496,True
50,152,1412706,1000000,1056883624999999941414826899,781250000000000000000,34611297,25,24719406250000058585173101,781250000000000000000,0.9771455834203496,True
51,159,9282138,1000000,2222150727203102338225780355894123212577571,250000000000000000000000000000000000,227412381,25,51973082796897661774219644105876787422429,250000000000000000000000000000000000,0.9771458868825187,True
52,160,9282138,1000000,2222150727203102338225780355894123212577571,250000000000000000000000000000000000,227412381,25,51973082796897661774219644105876787422429,250000000000000000000000000000000000,0.9771458868825187,True
53,161,9282138,1000000,2222150727203102338225780355894123212577571,250000000000000000000000000000000000,227412381,25,51973082796897661774219644105876787422429,250000000000000000000000000000000000,0.9771458868825187,True
54,168,31500405,1000000,2413190508406461393759357584539334794348977,80000000000000000000000000000000000,308703969,10,56441243593538606240642415460665205651023,80000000000000000000000000000000000,0.9771458868117361,True
55,169,31500405,1000000,2413190508406461393759357584539334794348977,80000000000000000000000000000000000,308703969,10,56441243593538606240642415460665205651023,80000000000000000000000000000000000,0.9771458868117361,True
56,170,31500405,1000000,2413190508406461393759357584539334794348977,80000000000000000000000000000000000,308703969,10,56441243593538606240642415460665205651023,80000000000000000000000000000000000,0.9771458868117361,True
57,177,12221624,1000000,9143330124999999493166924511,781250000000000000000,299429788,25,213850750000000506833075489,781250000000000000000,0.9771458142300792,True
58,178,12221624,1000000,9143330124999999493166924511,781250000000000000000,299429788,25,213850750000000506833075489,781250000000000000000,0.9771458142300792,True
59,179,12221624,1000000,9143330124999999493166924511,781250000000000000000,299429788,25,213850750000000506833075489,781250000000000000000,0.9771458142300792,True
60,186,7939065,1000000,38012364003864909375297675629788748178519,5000000000000000000000000000000000,77802837,10,889054496135090624702324370211251821481,5000000000000000000000000000000000,0.9771459620133108,True
61,187,7939065,1000000,38012364003864909375297675629788748178519,5000000000000000000000000000000000,77802837,10,889054496135090624702324370211251821481,5000000000000000000000000000000000,0.9771459620133108,True
62,188,7939065,1000000,38012364003864909375297675629788748178519,5000000000000000000000000000000000,77802837,10,889054496135090624702324370211251821481,5000000000000000000000000000000000,0.9771459620133108,True
63,195,14715308,1000000,281828447217760816915470326379275476591191,20000000000000000000000000000000000,360525046,25,6591589582239183084529673620724523408809,20000000000000000000000000000000000,0.9771458680354791,True
64,196,14715308,1000000,281828447217760816915470326379275476591191,20000000000000000000000000000000000,360525046,25,6591589582239183084529673620724523408809,20000000000000000000000000000000000,0.9771458680354791,True
65,197,14715308,1000000,281828447217760816915470326379275476591191,20000000000000000000000000000000000,360525046,25,6591589582239183084529673620724523408809,20000000000000000000000000000000000,0.9771458680354791,True
66,204,2252783,1000000,337073624999999981315334819,156250000000000000000,110386367,50,7883771875000018684665181,156250000000000000000,0.9771456650982996,True
